"","dataset","description","version","Taxon.ID"
"1","aaegypti_eg_gene","Aedes aegypti","AaegL3",7159
"2","acephalotes_eg_gene","Atta cephalotes","Attacep1.0",12957
"3","adarlingi_eg_gene","Anopheles darlingi","AdarC3",43151
"4","agambiae_eg_gene","Anopheles gambiae","AgamP4",7165
"5","aglabripennis_eg_gene","Anoplophora glabripennis","Agla_1.0",217634
"6","amellifera_eg_gene","Apis mellifera","Amel_4.5",7460
"7","apisum_eg_gene","Acyrthosiphon pisum","Acyr_2.0",7029
"8","aqueenslandica_eg_gene","Amphimedon queenslandica","Aqu1",400682
"9","avaga_eg_gene","Adineta vaga","AMS_PRJEB1171_v1",104782
"10","bantarctica_eg_gene","Belgica antarctica","ASM77530v1",315563
"11","bimpatiens_eg_gene","Bombus impatiens","BIMP_2.0",132113
"12","blanceolatum_eg_gene","Branchiostoma lanceolatum","BraLan2",7740
"13","bmalayi_eg_gene","Brugia malayi","Bmal-4.0",6279
"14","bmori_eg_gene","Bombyx mori","ASM15162v1",7091
"15","bterrestris_eg_gene","Bombus terrestris","Bter_1.0",30195
"16","cbrenneri_eg_gene","Caenorhabditis brenneri","C_brenneri-6.0.1b",135651
"17","cbriggsae_eg_gene","Caenorhabditis briggsae","CB4",6238
"18","celegans_eg_gene","Caenorhabditis elegans","WBcel235",6239
"19","cgigas_eg_gene","Crassostrea gigas","oyster_v9",29159
"20","cjaponica_eg_gene","Caenorhabditis japonica","C_japonica-7.0.1",281687
"21","cquinquefasciatus_eg_gene","Culex quinquefasciatus","CpipJ2",7176
"22","cremanei_eg_gene","Caenorhabditis remanei","C_remanei-15.0.1",31234
"23","csonorensis_eg_gene","Culicoides sonorensis","Cson1",179676
"24","cteleta_eg_gene","Capitella teleta","Capitella teleta v1.0",283909
"25","dananassae_eg_gene","Drosophila ananassae","dana_caf1",7217
"26","derecta_eg_gene","Drosophila erecta","dere_caf1",7220
"27","dgrimshawi_eg_gene","Drosophila grimshawi","dgri_caf1",7222
"28","dmagna_eg_gene","Daphnia magna","daphmag2.4",35525
"29","dmelanogaster_eg_gene","Drosophila melanogaster","BDGP6.22",7227
"30","dmojavensis_eg_gene","Drosophila mojavensis","dmoj_caf1",7230
"31","dpersimilis_eg_gene","Drosophila persimilis","dper_caf1",7234
"32","dplexippus_eg_gene","Danaus plexippus","Dpv3",13037
"33","dponderosae_eg_gene","Dendroctonus ponderosae","DendPond_male_1.0",77166
"34","dpseudoobscura_eg_gene","Drosophila pseudoobscura","Dpse_3.0",46245
"35","dpulex_eg_gene","Daphnia pulex","V1.0",6669
"36","dsechellia_eg_gene","Drosophila sechellia","dsec_caf1",7238
"37","dsimulans_eg_gene","Drosophila simulans","ASM75419v3",7240
"38","dtinctorium_eg_gene","Dinothrombium tinctorium","DtinU1",1965070
"39","dvirilis_eg_gene","Drosophila virilis","dvir_caf1",7244
"40","dwillistoni_eg_gene","Drosophila willistoni","dwil_caf1",7260
"41","dyakuba_eg_gene","Drosophila yakuba","dyak_caf1",7245
"42","fcandida_eg_gene","Folsomia candida str. VU population","ASM221717v1",158441
"43","hmelpomene_eg_gene","Heliconius melpomene","Hmel1",34740
"44","hmiamia_eg_gene","Hofstenia miamia","HmiaM1",442651
"45","hrobusta_eg_gene","Helobdella robusta","Helro1",6412
"46","iscapularis_eg_gene","Ixodes scapularis","IscaW1",6945
"47","lanatina_eg_gene","Lingula anatina","LinAna1.0",7574
"48","lcuprina_eg_gene","Lucilia cuprina","ASM118794v1",7375
"49","ldeliense_eg_gene","Leptotrombidium deliense","LdelU1",299467
"50","lgigantea_eg_gene","Lottia gigantea","Lotgi1",225164
"51","lloa_eg_gene","Loa loa","Loa_loa_V3",7209
"52","lsalmonis_eg_gene","Lepeophtheirus salmonis","LSalAtl2s",72036
"53","mcinxia_eg_gene","Melitaea cinxia","MelCinx1.0",113334
"54","mdestructor_eg_gene","Mayetiola destructor","Mdes_1.0",39758
"55","mleidyi_eg_gene","Mnemiopsis leidyi","MneLei_Aug2011",27923
"56","mscalaris_eg_gene","Megaselia scalaris","Msca1",36166
"57","nvectensis_eg_gene","Nematostella vectensis","ASM20922v1",45351
"58","nvitripennis_eg_gene","Nasonia vitripennis","Nvit_2.1",7425
"59","obimaculoides_eg_gene","Octopus bimaculoides","PRJNA270931",37653
"60","ocincta_eg_gene","Orchesella cincta","ASM171814v1",48709
"61","ovolvulus_eg_gene","Onchocerca volvulus","ASM49940v2",6282
"62","phumanus_eg_gene","Pediculus humanus","PhumU2",121224
"63","ppacificus_eg_gene","Pristionchus pacificus","El_Paco",54126
"64","rprolixus_eg_gene","Rhodnius prolixus","RproC3",13249
"65","sinvicta_eg_gene","Solenopsis invicta","Si_gnG",13686
"66","smansoni_eg_gene","Schistosoma mansoni","ASM23792v2",6183
"67","smaritima_eg_gene","Strigamia maritima","Smar1",126957
"68","smimosarum_eg_gene","Stegodyphus mimosarum","Stegodyphus_mimosarum_v1",407821
"69","spurpuratus_eg_gene","Strongylocentrotus purpuratus","Spur_3.1",7668
"70","sratti_eg_gene","Strongyloides ratti","S_ratti_ED321_v5_0_4",34506
"71","sscabiei_eg_gene","Sarcoptes scabiei","SscaA1",52283
"72","tadhaerens_eg_gene","Trichoplax adhaerens","ASM15027v1",10228
"73","tcastaneum_eg_gene","Tribolium castaneum","Tcas5.2",7070
"74","tdalmanni_eg_gene","Teleopsis dalmanni","Tel_dalmanni_2A_v1.0",139649
"75","tkitauei_eg_gene","Thelohanellus kitauei","ASM82789v1",669202
"76","tspiralis_eg_gene","Trichinella spiralis","Tspiralis1",6334
"77","turticae_eg_gene","Tetranychus urticae","ASM23943v1",32264
"78","znevadensis_eg_gene","Zootermopsis nevadensis","ZooNev1.0",136037
