"","species","median_gene_length","median_long_gene_length","median_exonic_length","median_long_gene_exonic_length","median_intronic_length","median_long_gene_intronic_length","number_of_exons","number_of_long_gene_exons","clade","Taxon.ID","superkingdom","phylum","class","order","family","genus"
"1","Acanthochromis polyacanthus",9000.5,62836,2199,4932,6294,58243,7,16,"Chordata",80966,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Acanthochromis"
"2","Actinidia chinensis",4442,16905,1735,3175,2269,13440,4,12,"Plantae",1590841,"Eukaryota","Streptophyta","Magnoliopsida","Ericales","Actinidiaceae","Actinidia"
"3","Acyrthosiphon pisum",3954,29094.5,1559,3065.5,1945,25774,3,8,"Metazoa",7029,"Eukaryota","Arthropoda","Insecta","Hemiptera","Aphididae","Acyrthosiphon"
"4","Adineta vaga",1151,4245,921,2916,177,1325,3,14,"Metazoa",104782,"Eukaryota","Rotifera","Bdelloidea","Adinetida","Adinetidae","Adineta"
"5","Aedes aegypti",7031,69148.5,1476,2945.5,5255.5,66409,3,7,"Metazoa",7159,"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Aedes"
"6","Aegilops tauschii",2797,19940,1951,4420.5,295,15504,2,8,"Plantae",200361,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Aegilops"
"7","Ailuropoda melanoleuca",12435,149984,1179,2376,10945,146435,7,16,"Chordata",9646,"Eukaryota","Chordata","Mammalia","Carnivora","Ursidae","Ailuropoda"
"8","Albugo laibachii",1077,5460,891,4044,61,907,2,5,"Protista",890382,"Eukaryota",NA,"Oomycota","Albuginales","Albuginaceae","Albugo"
"9","Amborella trichopoda",1210,24519,645,1599,269,22592.5,2,10,"Plantae",13333,"Eukaryota","Streptophyta","Magnoliopsida","Amborellales","Amborellaceae","Amborella"
"10","Amphilophus citrinellus",6526,50899.5,1110,2505,5315,48342.5,7,16,"Chordata",61819,"Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Amphilophus"
"11","Amphimedon queenslandica",1102,8679,725,2852,208,5753,3,14,"Metazoa",400682,"Eukaryota","Porifera","Demospongiae","Haplosclerida","Niphatidae","Amphimedon"
"12","Amphiprion ocellaris",8936,60765,2107,4454,6486,56219.5,7,17,"Chordata",80972,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Amphiprion"
"13","Amphiprion percula",9281.5,66943,2181,4022,6640.5,62378,7,16,"Chordata",161767,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Amphiprion"
"14","Anabas testudineus",6699,48216,2036,4642,4316,43588,7,17,"Chordata",64144,"Eukaryota","Chordata","Actinopteri","Anabantiformes","Anabantidae","Anabas"
"15","Anolis carolinensis",16111,141167.5,1940,3963,13608,136565,7,17,"Chordata",28377,"Eukaryota","Chordata","Lepidosauria","Squamata","Dactyloidae","Anolis"
"16","Anopheles darlingi",1943,14177,1284,2976,330,10510,4,10,"Metazoa",43151,"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Anopheles"
"17","Anopheles gambiae",2083,25884.5,1448,2746,323.5,22534,3,8,"Metazoa",7165,"Eukaryota","Arthropoda","Insecta","Diptera","Culicidae","Anopheles"
"18","Anoplophora glabripennis",4156,28736.5,969,1649.5,2667,26267.5,4,7,"Metazoa",217634,"Eukaryota","Arthropoda","Insecta","Coleoptera","Cerambycidae","Anoplophora"
"19","Aotus nancymaae",16315,200310,1554,3748.5,13996.5,195818,7,18,"Chordata",37293,"Eukaryota","Chordata","Mammalia","Primates","Aotidae","Aotus"
"20","Apis mellifera",2649.5,29861.5,1185,2510.5,963,26724.5,4,7,"Metazoa",7460,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Apidae","Apis"
"21","Arabidopsis halleri",1955,5705,1316.5,3000,569,2892,4,13,"Plantae",63677,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis"
"22","Arabidopsis lyrata",1574,5298,997,2622,474,2688,4,13,"Plantae",81972,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis"
"23","Arabidopsis thaliana",2070,5271,1546,3466,442,2013,3,14,"Plantae",3702,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Arabidopsis"
"24","Aspergillus nidulans",1530,3753,1344,3460,138,222,3,4,"Fungi",227321,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"25","Aspergillus niger",1329,3502.5,1083,3150,171,287,3,4,"Fungi",5061,"Eukaryota","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus"
"26","Astatotilapia calliptera",7783,67624,2108,4410,5146,62995,7,16,"Chordata",8154,"Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Astatotilapia"
"27","Atta cephalotes",3722,50927,1300,2055,2048,47327,5,9,"Metazoa",12957,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Atta"
"28","Beauveria bassiana",1751,4171,1621,3983.5,99,145,2,3,"Fungi",176275,"Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Cordycipitaceae","Beauveria"
"29","Belgica antarctica",1699.5,7571.5,1008,3091,384,4736.5,3,8,"Metazoa",315563,"Eukaryota","Arthropoda","Insecta","Diptera","Chironomidae","Belgica"
"30","Beta vulgaris",3475,17223.5,1495,3185,1220,13247,3,10,"Plantae",3555,"Eukaryota","Streptophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","Beta"
"31","Bigelowiella natans",2054,7698,1108,2834,826.5,4804,7,24,"Protista",753081,"Eukaryota","Cercozoa","Chlorarachniophyceae",NA,NA,"Bigelowiella"
"32","Blumeria graminis",1972.5,4602.5,1843,4378.5,100,156,3,3,"Fungi",546991,"Eukaryota","Ascomycota","Leotiomycetes","Erysiphales","Erysiphaceae","Blumeria"
"33","Bombus impatiens",2036,27717.5,996,1818,711,24925.5,4,8,"Metazoa",132113,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus"
"34","Bombus terrestris",3960,74906,2279,6038,1314,67919,6,11,"Metazoa",30195,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Apidae","Bombus"
"35","Bombyx mori",3567,19629,867,2556,2618,17059,4,14,"Metazoa",7091,"Eukaryota","Arthropoda","Insecta","Lepidoptera","Bombycidae","Bombyx"
"36","Bos taurus",14041,188756,1973,3850,11597,183839.5,7,17,"Chordata",9913,"Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos"
"37","Brachypodium distachyon",2617,8761,1654.5,4116,547,4913,3,11,"Plantae",15368,"Eukaryota","Streptophyta","Magnoliopsida","Poales","Poaceae","Brachypodium"
"38","Branchiostoma lanceolatum",3179,21931,1206,2913,1676,18667,4,11,"Metazoa",7740,"Eukaryota","Chordata","Leptocardii","Amphioxiformes","Branchiostomidae","Branchiostoma"
"39","Brassica napus",1560,5076,1006,2628,448,2496,3,12,"Plantae",3708,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"40","Brassica oleracea",1347,4625,837,2382,412,2379,3,11,"Plantae",109376,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"41","Brassica rapa",1558,5359,982.5,2535,500,2854,3,12,"Plantae",3711,"Eukaryota","Streptophyta","Magnoliopsida","Brassicales","Brassicaceae","Brassica"
"42","Brugia malayi",3040,12376,1116.5,3591,1852,8856,7,23,"Metazoa",6279,"Eukaryota","Nematoda","Chromadorea","Rhabditida","Onchocercidae","Brugia"
"43","Caenorhabditis brenneri",1547,6658.5,959,2625,452,4057,4,10,"Metazoa",135651,"Eukaryota","Nematoda","Chromadorea","Rhabditida","Rhabditidae","Caenorhabditis"
