# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3727
# Selected columns: 4 (all)
# Timestamp: Fri, 24-Aug-2018 23:13:02
Gene ID	Gene Name	brain	heart	kidney	skeletal muscle tissue
ENSACAG00000000002	ENSACAG00000000002	42.0	7.0	9.0	2.0
ENSACAG00000000003	ENSACAG00000000003	0.1			
ENSACAG00000000004	ENSACAG00000000004	53.0	40.0	43.0	24.0
ENSACAG00000000006	PNPLA8	16.0	5.0	7.0	4.0
ENSACAG00000000007	NRCAM	30.0	0.2	0.4	0.3
ENSACAG00000000008	ENSACAG00000000008	65.0	6.0	14.0	8.0
ENSACAG00000000009	ENSACAG00000000009	96.0	71.0	53.0	28.0
ENSACAG00000000010	ENSACAG00000000010	18.0	14.0	18.0	8.0
ENSACAG00000000011	ENSACAG00000000011	22.0	5.0	76.0	4.0
ENSACAG00000000012	ENSACAG00000000012	67.0	31.0	3.0	11.0
ENSACAG00000000013	ZNF385D	21.0		0.2	0.5
ENSACAG00000000014	SGO1	12.0	7.0	2.0	2.0
ENSACAG00000000015	ENSACAG00000000015	12.0	15.0	8.0	10.0
ENSACAG00000000016	PP2D1	2.0	3.0	0.5	0.5
ENSACAG00000000017	ENSACAG00000000017	133.0	38.0	43.0	11.0
ENSACAG00000000018	EFHB	2.0	0.8	0.7	0.3
ENSACAG00000000019	KCNH8	2.0		0.1	
ENSACAG00000000020	ENSACAG00000000020	0.9	10.0	0.1	0.1
ENSACAG00000000021	ADIPOR2	88.0	43.0	43.0	50.0
ENSACAG00000000022	WNT5B	0.9	32.0	2.0	6.0
ENSACAG00000000024	ENSACAG00000000024	7.0	3.0	1.0	1.0
ENSACAG00000000026	RAD52	5.0	2.0	1.0	0.7
ENSACAG00000000027	ENSACAG00000000027	101.0	99.0	91.0	55.0
ENSACAG00000000028	WNK1	46.0	11.0	25.0	14.0
ENSACAG00000000029	ENSACAG00000000029	23.0	18.0	16.0	23.0
ENSACAG00000000030	ENSACAG00000000030	85.0	23.0	6.0	3.0
ENSACAG00000000031	NINJ2	83.0	0.4		0.1
ENSACAG00000000032	B4GALNT3	0.2	0.1	2.0	0.5
ENSACAG00000000033	CCDC77	1.0	1.0	1.0	1.0
ENSACAG00000000034	KDM5A	9.0	5.0	3.0	2.0
ENSACAG00000000035	SLC6A13	14.0		0.1	
ENSACAG00000000036	ENSACAG00000000036	0.1			
ENSACAG00000000037	IQSEC3	8.0		0.2	
ENSACAG00000000038	WASHC1	37.0	8.0	11.0	9.0
ENSACAG00000000039	DDX11	5.0	2.0	1.0	0.9
ENSACAG00000000042	C11orf58	95.0	60.0	52.0	27.0
ENSACAG00000000043	PLEKHA7	4.0	22.0	5.0	0.4
ENSACAG00000000044	RPS13	90.0	406.0	476.0	90.0
ENSACAG00000000045	PIK3C2A	7.0	5.0	3.0	0.9
ENSACAG00000000046	NUCB2	18.0	18.0	17.0	3.0
ENSACAG00000000047	KCNJ11	9.0	7.0	0.1	31.0
ENSACAG00000000048	ABCC8	4.0	17.0	1.0	0.8
ENSACAG00000000051	USH1C	2.0	0.5	5.0	0.4
ENSACAG00000000052	OTOG	0.5	0.2	0.5	1.0
ENSACAG00000000053	ENSACAG00000000053	0.2			
ENSACAG00000000054	MYOD1		0.2		71.0
ENSACAG00000000055	KCNC1	35.0	0.1	0.2	0.1
ENSACAG00000000057	TPH1	1.0	11.0	0.5	0.1
ENSACAG00000000058	SAAL1	15.0	7.0	2.0	3.0
ENSACAG00000000059	HPS5	8.0	4.0	2.0	3.0
ENSACAG00000000060	GTF2H1	5.0	3.0	3.0	1.0
ENSACAG00000000061	ENSACAG00000000061	296.0	367.0	213.0	9029.0
ENSACAG00000000062	TSG101	122.0	74.0	48.0	36.0
ENSACAG00000000063	UEVLD	6.0	5.0	9.0	5.0
ENSACAG00000000064	ENSACAG00000000064	12.0	3.0	3.0	2.0
ENSACAG00000000065	TMEM86A	10.0	0.7		1.0
ENSACAG00000000066	IGSF22	3.0	0.1	0.6	0.2
ENSACAG00000000067	PTPN5	32.0	0.3	0.3	
ENSACAG00000000068	ENSACAG00000000068	0.8	0.4	2.0	0.1
ENSACAG00000000070	OSBPL5	47.0	11.0	20.0	5.0
ENSACAG00000000071	PSMG1	30.0	30.0	15.0	13.0
ENSACAG00000000073	CARS	31.0	8.0	7.0	5.0
ENSACAG00000000074	NAP1L4	71.0	44.0	18.0	59.0
ENSACAG00000000075	ENSACAG00000000075	27.0	12.0	3.0	2.0
ENSACAG00000000076	ENSACAG00000000076	45.0	18.0	3.0	4.0
ENSACAG00000000077	SLC22A18	0.6	2.0	59.0	0.5
ENSACAG00000000079	ENSACAG00000000079	105.0	24.0	99.0	19.0
ENSACAG00000000080	ENSACAG00000000080	5.0	1.0	2.0	1.0
ENSACAG00000000081	ENSACAG00000000081	6.0	5.0	5.0	6.0
ENSACAG00000000082	ENSACAG00000000082	4.0	2.0	2.0	0.4
ENSACAG00000000083	ENSACAG00000000083	23.0	4.0	2.0	7.0
ENSACAG00000000084	ENSACAG00000000084	45.0	10.0	0.5	1.0
ENSACAG00000000085	ENSACAG00000000085	3.0	7.0	0.5	
ENSACAG00000000086	ENSACAG00000000086	2.0	0.9	1.0	0.2
ENSACAG00000000087	ENSACAG00000000087	32.0	9.0	8.0	12.0
ENSACAG00000000088	ENSACAG00000000088	13.0	6.0	5.0	5.0
ENSACAG00000000089	ENSACAG00000000089	29.0	1.0	2.0	0.7
ENSACAG00000000090	ENSACAG00000000090	5.0		2.0	
ENSACAG00000000091	ENSACAG00000000091	25.0	2.0	0.1	
ENSACAG00000000092	ENSACAG00000000092	1.0	0.8	0.5	0.4
ENSACAG00000000094	ENSACAG00000000094	1.0	0.6	0.5	0.2
ENSACAG00000000095	ENSACAG00000000095	7.0	1.0	1.0	0.3
ENSACAG00000000097	ENSACAG00000000097	25.0	7.0	3.0	1.0
ENSACAG00000000098	ENSACAG00000000098	18.0	12.0	6.0	7.0
ENSACAG00000000099	ENSACAG00000000099	10.0	0.1	1.0	0.1
ENSACAG00000000100	ENSACAG00000000100	207.0	9.0	8.0	9.0
ENSACAG00000000101	ENSACAG00000000101	23.0	19.0	11.0	6.0
ENSACAG00000000102	ENSACAG00000000102	161.0	32.0	12.0	15.0
ENSACAG00000000103	ENSACAG00000000103	11.0	18.0	24.0	4.0
ENSACAG00000000106	CACNA1E	3.0			
ENSACAG00000000107	ENSACAG00000000107	35.0	11.0	146.0	6.0
ENSACAG00000000108	ENSACAG00000000108	55.0	32.0	30.0	24.0
ENSACAG00000000109	ENSACAG00000000109	24.0	6.0	5.0	3.0
ENSACAG00000000112	ENSACAG00000000112	0.5	2.0	8.0	2.0
ENSACAG00000000114	ENSACAG00000000114	0.2			
ENSACAG00000000115	PARS2	11.0	6.0	5.0	3.0
ENSACAG00000000118	ENSACAG00000000118	0.3	0.1	0.1	
ENSACAG00000000119	ENSACAG00000000119	6.0	4.0	5.0	1.0
ENSACAG00000000120	ENSACAG00000000120	22.0	13.0	9.0	10.0
ENSACAG00000000122	ENSACAG00000000122		0.1		
ENSACAG00000000124	TTC22	0.3	0.1	0.2	0.1
ENSACAG00000000125	ENSACAG00000000125	1.0	0.1		0.1
ENSACAG00000000126	ENSACAG00000000126	11.0	3.0	3.0	1.0
ENSACAG00000000128	KLF11	6.0	3.0	2.0	11.0
ENSACAG00000000129	LEXM	3.0	0.5	1.0	0.1
ENSACAG00000000130	DHCR24	67.0	6.0	8.0	1.0
ENSACAG00000000131	ENSACAG00000000131	0.3	1.0	0.9	0.3
ENSACAG00000000132	GRHL1	4.0	0.2	0.9	0.3
ENSACAG00000000133	ENSACAG00000000133	2.0	0.8	0.7	0.8
ENSACAG00000000135	ENSACAG00000000135	0.1	0.2		
ENSACAG00000000136	ENSACAG00000000136	70.0	58.0	83.0	50.0
ENSACAG00000000139	ENSACAG00000000139	0.1		0.1	
ENSACAG00000000140	KCNK9	2.0			
ENSACAG00000000141	PTPN22	1.0	0.6	0.8	0.3
ENSACAG00000000144	TRAPPC9	10.0	0.7	1.0	1.0
ENSACAG00000000145	ENSACAG00000000145	3.0	3.0	25.0	
ENSACAG00000000146	PCSK9	1.0	0.3	7.0	0.1
ENSACAG00000000150	RSBN1	4.0	0.8	0.8	0.5
ENSACAG00000000151	ENSACAG00000000151	296.0	62.0	39.0	26.0
ENSACAG00000000152	TAF1B	6.0	3.0	3.0	2.0
ENSACAG00000000153	PHTF1	10.0	4.0	4.0	2.0
ENSACAG00000000154	CABLES1	6.0	3.0	14.0	0.5
ENSACAG00000000155	ENSACAG00000000155	2.0	0.7	0.7	0.3
ENSACAG00000000156	NAB1	8.0	3.0	2.0	0.9
ENSACAG00000000157	ENSACAG00000000157			2.0	
ENSACAG00000000159	RIOK3	25.0	13.0	17.0	14.0
ENSACAG00000000160	MAGI3	6.0	1.0	1.0	0.2
ENSACAG00000000164	ENSACAG00000000164	6.0	3.0	3.0	2.0
ENSACAG00000000165	ENSACAG00000000165	2.0	2.0	2.0	3.0
ENSACAG00000000166	CHRAC1	19.0	21.0	24.0	6.0
ENSACAG00000000167	AGO2	1.0	0.7	0.8	0.4
