# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2596
# Selected columns: 7 (all)
# Timestamp: Fri, 24-Aug-2018 23:13:49
Gene ID	Gene Name	adipose tissue	duodenum	hypothalamus	kidney	liver	lung	muscle tissue
ENSBTAG00000000005	GRK3	19.0	1.0	26.0	1.0	2.0	17.0	4.0
ENSBTAG00000000008	KCNJ1	0.1		0.1	71.0		0.9	
ENSBTAG00000000009	FOXF1	3.0	0.1	0.5	1.0	0.8	84.0	3.0
ENSBTAG00000000010	BMSC-UbP	32.0	30.0	24.0	56.0	21.0	58.0	27.0
ENSBTAG00000000011	TDH	23.0	0.1	5.0	2.0	120.0		0.1
ENSBTAG00000000012	TTC33	12.0	10.0	16.0	7.0	7.0	8.0	7.0
ENSBTAG00000000013	PRKAA1	20.0	12.0	24.0	9.0	11.0	13.0	13.0
ENSBTAG00000000014	TXN2	108.0	55.0	39.0	154.0	73.0	71.0	96.0
ENSBTAG00000000015	FOXRED2	2.0	0.2	2.0	0.6	0.2	8.0	1.0
ENSBTAG00000000016	LTA	2.0		0.2	0.5	0.1	1.0	0.3
ENSBTAG00000000019	SERINC1	402.0	76.0	560.0	134.0	40.0	232.0	102.0
ENSBTAG00000000020	TRPV3	0.1		7.0		0.5	0.1	0.2
ENSBTAG00000000021	WASHC3	66.0	18.0	35.0	27.0	31.0	23.0	30.0
ENSBTAG00000000022	NUP37	18.0	8.0	9.0	8.0	7.0	8.0	8.0
ENSBTAG00000000023	RNF2	42.0	14.0	30.0	16.0	9.0	37.0	32.0
ENSBTAG00000000024	DYM	34.0	41.0	37.0	21.0	12.0	31.0	24.0
ENSBTAG00000000025	RAB6A	56.0	41.0	189.0	34.0	47.0	81.0	54.0
ENSBTAG00000000026	VPS33B	19.0	4.0	16.0	17.0	10.0	27.0	13.0
ENSBTAG00000000027	IGFL1	0.2						
ENSBTAG00000000029	LYZL6	0.2		0.8	10.0	0.1		0.4
ENSBTAG00000000030	RDM1	2.0		5.0	0.8	0.1	1.0	3.0
ENSBTAG00000000031	TRPV4	0.7		0.6	46.0	0.1	24.0	0.7
ENSBTAG00000000032	ABI3	14.0	2.0	6.0	4.0	4.0	108.0	6.0
ENSBTAG00000000033	PHOSPHO1	0.5	17.0	2.0	0.6	0.6	36.0	0.4
ENSBTAG00000000037	CWC27	14.0	6.0	12.0	8.0	6.0	13.0	8.0
ENSBTAG00000000039	SIRT7	20.0	2.0	8.0	19.0	11.0	38.0	12.0
ENSBTAG00000000040	MAFG	9.0	11.0	6.0	10.0	3.0	32.0	2.0
ENSBTAG00000000042	PYCR1	38.0	2.0	4.0	5.0	4.0	6.0	12.0
ENSBTAG00000000044	MYADML2		21.0	1.0				
