# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2812
# Selected columns: 25 (all)
# Timestamp: Fri, 07-Dec-2018 21:36:37
Gene ID	Gene Name	3-fold embryo Ce, hermaphrodite, organism	4-cell embryo Ce, hermaphrodite, organism	L1 larva Ce, hermaphrodite, NSM	L1 larva Ce, hermaphrodite, neuron	L1 larva Ce, hermaphrodite, organism	L2 larva Ce, hermaphrodite, motor neuron	L2 larva Ce, hermaphrodite, organism	L2d-dauer molt Ce, hermaphrodite, organism	L3 larva Ce, hermaphrodite, organism	L4 larva Ce, hermaphrodite, organism	L4 larva Ce, male, organism	adult Ce, hermaphrodite, gonad	adult Ce, hermaphrodite, organism	dauer larva Ce, hermaphrodite, organism	elongating embryo Ce, hermaphrodite, organism	embryo Ce, hermaphrodite, somatic cell	embryo Ce, male, organism	enclosing embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, organism	fully-elongated embryo Ce, hermaphrodite, pharyngeal muscle cell	gastrulating embryo Ce, hermaphrodite, organism	late cleavage stage embryo Ce, hermaphrodite, organism	newly molted young adult hermaphrodite Ce, hermaphrodite, organism	post dauer stage Ce, hermaphrodite, organism	proliferating embryo Ce, hermaphrodite, organism
WBGene00000001	aap-1	33.0	21.0	10.0	25.0	37.0	73.0	19.0	28.0	15.0	6.0	8.0	83.0	44.0	36.0	41.0	54.0	40.0	9.0	27.0	14.0	25.0	32.0	33.0	40.0	40.0
WBGene00000002	aat-1	112.0	0.2	1.0	13.0	20.0	19.0	19.0	11.0	16.0	5.0	7.0	0.3	4.0	5.0	121.0	21.0	25.0	2.0	44.0	71.0	3.0	44.0	4.0	7.0	5.0
WBGene00000003	aat-2	68.0	3.0	36.0	13.0	27.0	8.0	14.0	8.0	23.0	4.0	5.0	1.0	2.0	4.0	75.0	58.0	25.0	3.0	56.0	43.0	8.0	40.0	5.0	11.0	8.0
WBGene00000004	aat-3	296.0	6.0	47.0	52.0	87.0	49.0	28.0	29.0	14.0	3.0	5.0	3.0	10.0	17.0	341.0	175.0	80.0	35.0	165.0	134.0	50.0	321.0	4.0	24.0	41.0
WBGene00000005	aat-4	5.0	0.1			0.4		10.0		11.0	7.0	3.0	4.0	3.0	0.1	7.0		2.0	0.7	4.0	0.8	2.0	5.0	10.0	2.0	0.5
WBGene00000006	aat-5	16.0	0.1	39.0	33.0	28.0	16.0	17.0	21.0	15.0	3.0	6.0	0.7	3.0	16.0	4.0	2.0	11.0	0.1	30.0	13.0	0.6	2.0	3.0	25.0	1.0
WBGene00000007	aat-6	3.0	0.3			1.0		8.0	2.0	19.0	4.0	6.0	0.3	2.0	0.6	0.1		0.7	0.1	5.0	1.0	0.2		7.0	6.0	0.2
WBGene00000008	aat-7					0.1		1.0	2.0	2.0	0.5	2.0		0.2	5.0								0.1	1.0	4.0	
WBGene00000009	aat-8	5.0			0.2	1.0		0.7	2.0	0.6	1.0	2.0		0.3	2.0	0.6	1.0	0.7	0.1	6.0	0.1	0.1	0.4	0.2	2.0	0.2
WBGene00000010	aat-9	28.0	18.0	10.0	6.0	17.0	10.0	12.0	15.0	15.0	5.0	5.0	24.0	39.0	17.0	18.0	42.0	38.0	4.0	28.0	15.0	19.0	17.0	18.0	16.0	49.0
WBGene00000012	abf-1				1.0	0.8		0.5	0.9	0.9	0.8	175.0	3.0	4.0	0.4	0.2	0.6	0.8	0.1	0.7	0.7	1.0	0.3	4.0	1.0	0.1
WBGene00000013	abf-2			15.0	44.0	15.0		7.0	40.0	2.0	2.0	8.0	0.2	9.0	76.0					0.6		0.2	0.1	2.0	49.0	
WBGene00000014	abf-3					0.4			0.3			0.2							0.6							
