# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-2797
# Selected columns: 9 (all)
# Timestamp: Fri, 24-Aug-2018 23:04:26
Gene ID	Gene Name	brain	colon	heart	kidney	liver	lung	skeletal muscle tissue	spleen	testis
ENSGALG00000000003	PANX2	20.0	6.0	0.1	0.4		1.0		0.4	7.0
ENSGALG00000000004	ENSGALG00000000004	21.0	35.0	15.0	11.0	5.0	32.0	12.0	45.0	53.0
ENSGALG00000000011	C10orf88	40.0	40.0	24.0	15.0	7.0	28.0	19.0	40.0	86.0
ENSGALG00000000038	ENSGALG00000000038		0.1	12.0			0.2		0.3	0.2
ENSGALG00000000044	WFIKKN1	0.2			0.1		0.7			0.2
ENSGALG00000000048	ENSGALG00000000048	3.0	50.0	2.0	67.0	0.8	3.0	0.3	4.0	2.0
ENSGALG00000000055	LAMTOR3	84.0	123.0	89.0	101.0	59.0	140.0	53.0	155.0	73.0
ENSGALG00000000059	TUBB3	474.0	4.0	2.0	5.0	3.0	9.0	4.0	5.0	2.0
ENSGALG00000000067	SPR	20.0	33.0	4.0	168.0	245.0	9.0	2.0	16.0	6.0
ENSGALG00000000071	DDIAS	3.0	12.0	0.7	9.0	3.0	8.0	0.4	16.0	20.0
ENSGALG00000000081	ENSGALG00000000081	0.2	2.0	0.1	0.2	2.0	4.0		4.0	3.0
ENSGALG00000000086	TIMM17A	164.0	68.0	103.0	64.0	39.0	57.0	102.0	67.0	176.0
ENSGALG00000000091	INTS4	10.0	39.0	6.0	38.0	18.0	38.0	5.0	47.0	36.0
ENSGALG00000000094	ENSGALG00000000094	66.0	47.0	36.0	31.0	21.0	68.0	47.0	55.0	147.0
ENSGALG00000000102	UBE2T	19.0	11.0	1.0	5.0	0.5	6.0		9.0	67.0
ENSGALG00000000104	ENSGALG00000000104	3.0	10.0	2.0	6.0	5.0	6.0	0.4	5.0	3.0
ENSGALG00000000106	ENSGALG00000000106	17.0	28.0	4.0	12.0	9.0	26.0	3.0	37.0	168.0
ENSGALG00000000107	TRIM7	0.3	3.0	3.0	1.0	0.6	9.0	110.0	3.0	0.4
ENSGALG00000000109	AFMID	12.0	53.0	19.0	35.0	193.0	22.0	9.0	47.0	21.0
ENSGALG00000000112	PLP1	1242.0	2.0	0.4	0.5	0.2	0.7		0.2	113.0
ENSGALG00000000115	ENSGALG00000000115	0.1		0.4	0.3	0.2	3.0		1.0	0.1
ENSGALG00000000120	BMP10					4.0				0.1
ENSGALG00000000122	GNB2L1	330.0	1065.0	451.0	770.0	592.0	931.0	637.0	1722.0	550.0
ENSGALG00000000123	ENSGALG00000000123		0.2	0.7	0.1		0.1	39.0	0.2	0.2
ENSGALG00000000129	TCF25	24.0	27.0	17.0	22.0	28.0	28.0	16.0	28.0	23.0
ENSGALG00000000136	Blec2		2.0	0.4	0.4	0.6	3.0		15.0	
ENSGALG00000000137	ENSGALG00000000137	40.0	75.0	37.0	47.0	23.0	75.0	41.0	75.0	53.0
ENSGALG00000000141	BLB1	4.0	115.0	21.0	25.0	18.0	178.0	15.0	412.0	2.0
ENSGALG00000000142	CEPT1	34.0	102.0	18.0	85.0	120.0	40.0	13.0	115.0	23.0
ENSGALG00000000146	SUPT6H	27.0	61.0	11.0	45.0	29.0	103.0	14.0	136.0	77.0
ENSGALG00000000150	RPL9	157.0	487.0	182.0	253.0	254.0	438.0	265.0	659.0	204.0
ENSGALG00000000151	ADAMTS19	0.9	16.0	0.5	0.4	0.7	5.0	0.5	0.7	1.0
ENSGALG00000000154	DENND2D	1.0	47.0	1.0	33.0	11.0	31.0	0.1	108.0	17.0
ENSGALG00000000156	BRD2	57.0	72.0	54.0	55.0	47.0	252.0	29.0	145.0	53.0
ENSGALG00000000158	HLA-DMA	10.0	115.0	6.0	15.0	8.0	34.0	6.0	97.0	2.0
ENSGALG00000000161	ISOC1	14.0	21.0	4.0	74.0	30.0	11.0	7.0	7.0	29.0
ENSGALG00000000162	ENSGALG00000000162	3.0	95.0	1.0	0.9	0.3	4.0	0.2	4.0	0.6
ENSGALG00000000164	MYBPH	5.0	0.3	5.0	0.5	0.2	0.6	96.0	10.0	0.6
ENSGALG00000000168	ADORA1	30.0	0.1	7.0	0.7		4.0	0.3	2.0	0.5
ENSGALG00000000172	MYOG							2.0		0.2
ENSGALG00000000184	SLC27A6	1.0	1.0	0.1	0.6		37.0	0.1	2.0	44.0
ENSGALG00000000186	MTCH1	95.0	12.0	9.0	13.0	7.0	17.0	5.0	17.0	17.0
ENSGALG00000000189	ENSGALG00000000189	3.0	19.0	0.7	13.0	4.0	16.0	0.4	37.0	40.0
ENSGALG00000000195	SVCT2	15.0	8.0	0.7	5.0	3.0	20.0	0.2	21.0	7.0
ENSGALG00000000201	PLEKHM1	7.0	19.0	9.0	18.0	12.0	21.0	8.0	39.0	12.0
ENSGALG00000000208	MCC	3.0	9.0	0.7	5.0	1.0	27.0	0.7	11.0	11.0
ENSGALG00000000209	PRNP	560.0	82.0	58.0	275.0	58.0	35.0	38.0	161.0	23.0
ENSGALG00000000215	DCP2	4.0	9.0	0.8	6.0	3.0	13.0	0.5	28.0	16.0
ENSGALG00000000217	PPFIA4	104.0	0.9	0.1		0.1	0.9		5.0	0.7
ENSGALG00000000218	ENSGALG00000000218	25.0	67.0	22.0	36.0	27.0	61.0	25.0	54.0	41.0
ENSGALG00000000220	ENSGALG00000000220	16.0	14.0	4.0	7.0	4.0	12.0	3.0	15.0	200.0
ENSGALG00000000223	TMEM183A	9.0	42.0	15.0	38.0	27.0	83.0	14.0	38.0	43.0
ENSGALG00000000225	ENSGALG00000000225	0.5	30.0	2.0	3.0	2.0	26.0		21.0	2.0
ENSGALG00000000226	TMEM9	17.0	4.0	1.0	6.0	0.6	17.0	0.1	3.0	10.0
ENSGALG00000000227	DPYSL2	681.0	110.0	22.0	41.0	9.0	199.0	13.0	85.0	48.0
ENSGALG00000000233	SP2	13.0	25.0	9.0	17.0	9.0	35.0	3.0	34.0	32.0
ENSGALG00000000234	EPB41L4A	3.0	2.0	0.8	30.0	5.0	13.0	0.2	0.7	35.0
ENSGALG00000000235	PPP2R2A	70.0	125.0	32.0	44.0	29.0	101.0	132.0	112.0	35.0
ENSGALG00000000239	ENSGALG00000000239		1.0				0.4		0.9	52.0
ENSGALG00000000241	STARD4	39.0	28.0	2.0	11.0	35.0	16.0	1.0	18.0	15.0
ENSGALG00000000242	EBF2	0.2	0.4	1.0	0.5		1.0	3.0	0.1	16.0
ENSGALG00000000243	ENSGALG00000000243	3.0	29.0	7.0	12.0	7.0	23.0	2.0	41.0	30.0
ENSGALG00000000244	CAMK4	185.0	4.0	25.0	2.0	1.0	3.0	8.0	1.0	22.0
ENSGALG00000000247	WDR36	10.0	32.0	7.0	18.0	8.0	19.0	8.0	46.0	31.0
ENSGALG00000000249	ENSGALG00000000249		0.2				0.3	1.0	0.2	1.0
ENSGALG00000000251	CD79B	0.2	29.0	0.4	0.7	1.0	14.0	0.2	175.0	0.1
ENSGALG00000000253	SLC25A46	23.0	31.0	10.0	33.0	15.0	29.0	13.0	36.0	46.0
ENSGALG00000000255	MAN2A1	2.0	25.0	0.6	13.0	14.0	19.0	2.0	29.0	15.0
ENSGALG00000000259	PSMF1	100.0	76.0	45.0	69.0	46.0	99.0	41.0	98.0	61.0
ENSGALG00000000264	ENSGALG00000000264	28.0	21.0	5.0	15.0	10.0	48.0	2.0	50.0	139.0
ENSGALG00000000273	FER	3.0	12.0	1.0	7.0	3.0	19.0	0.5	26.0	11.0
ENSGALG00000000274	ENSGALG00000000274	2.0								0.8
ENSGALG00000000275	KCTD9	9.0	33.0	9.0	18.0	9.0	40.0	13.0	46.0	49.0
ENSGALG00000000276	FBXL17	7.0	16.0	2.0	10.0	9.0	14.0	6.0	27.0	17.0
ENSGALG00000000277	GnRH-I	0.5		0.3	0.7		2.0		1.0	3.0
ENSGALG00000000280	EFNA5	5.0	11.0	9.0	9.0	0.4	4.0	0.6	5.0	4.0
ENSGALG00000000284	HOXB4		16.0	30.0	104.0	6.0	179.0	3.0	61.0	2.0
ENSGALG00000000293	ENSGALG00000000293					2656.0	0.2		0.2	0.4
ENSGALG00000000295	ENSGALG00000000295	0.3			2.0		0.2			8.0
ENSGALG00000000296	PCNX1	5.0	36.0	3.0	48.0	20.0	26.0	3.0	37.0	67.0
ENSGALG00000000299	PKP1	0.3	0.6				0.1			1.0
ENSGALG00000000302	ENSGALG00000000302	0.2		5354.0			1.0	9.0		
ENSGALG00000000309	LAD1	0.2	72.0	0.8	166.0	4.0	35.0			5.0
ENSGALG00000000311	ENSGALG00000000311	0.3	4.0	0.7	8.0	0.9	8.0	0.1	6.0	13.0
ENSGALG00000000313	TNNI1	1.0		182.0				887.0	0.2	0.1
ENSGALG00000000314	NEFL	582.0	8.0	0.9	0.5	0.1	2.0	0.1	5.0	21.0
ENSGALG00000000317	NEFM	207.0	0.7	0.1			0.5		0.4	3.0
ENSGALG00000000318	CSRP1	10.0	1686.0	26.0	49.0	33.0	885.0	24.0	222.0	27.0
ENSGALG00000000329	AHCYL1	203.0	63.0	12.0	62.0	84.0	48.0	6.0	56.0	19.0
ENSGALG00000000336	PP1M M21 subunit	69.0	284.0	141.0	16.0	7.0	108.0	67.0	41.0	31.0
ENSGALG00000000337	CTXN1	691.0	16.0	0.3		0.2	8.0			0.6
ENSGALG00000000341	ENSGALG00000000341	0.1			115.0					
ENSGALG00000000349	PSMC5	186.0	200.0	188.0	140.0	90.0	173.0	190.0	128.0	351.0
ENSGALG00000000352	TIMM44	20.0	37.0	48.0	33.0	25.0	30.0	24.0	41.0	45.0
ENSGALG00000000357	ADAMDEC1		59.0		32.0	1.0	138.0		3.0	0.2
ENSGALG00000000362	ENSGALG00000000362	82.0	7.0	8.0	4.0	2.0	11.0	3.0	17.0	6.0
ENSGALG00000000364	STC1	3.0	4.0	0.8	14.0	0.1	0.4		0.2	2.0
ENSGALG00000000365	ENSGALG00000000365									0.3
ENSGALG00000000367	ENSGALG00000000367	14.0	2.0	0.1	0.3	0.2	0.3		0.6	11.0
ENSGALG00000000371	ENSGALG00000000371	34.0				5.0	1.0			0.3
ENSGALG00000000374	RNPEP	17.0	37.0	15.0	48.0	67.0	24.0	7.0	34.0	3.0
ENSGALG00000000377	HNRNPM	79.0	218.0	65.0	113.0	68.0	191.0	61.0	294.0	205.0
ENSGALG00000000378	SLC25A37	2.0	16.0	8.0	13.0	13.0	71.0	2.0	22.0	158.0
ENSGALG00000000379	ENSGALG00000000379	3.0	15.0	5.0	8.0	6.0	41.0	0.8	85.0	0.7
ENSGALG00000000390	ENTPD4	18.0	25.0	3.0	21.0	5.0	24.0	3.0	22.0	270.0
ENSGALG00000000394	SLC6A17	305.0	0.2	28.0				0.1	0.6	3.0
ENSGALG00000000396	ENSGALG00000000396	8.0	22.0	4.0	22.0	7.0	19.0	6.0	17.0	107.0
ENSGALG00000000397	IPO9	27.0	35.0	4.0	18.0	12.0	29.0	6.0	51.0	26.0
ENSGALG00000000399	DUSP28	5.0	4.0	19.0	0.1		0.2	6.0	0.5	3.0
ENSGALG00000000400	ENSGALG00000000400	16.0	0.5	0.4	0.3	0.1	0.3		1.0	
ENSGALG00000000401	RBM15	3.0	5.0	0.6	4.0	2.0	6.0	0.7	8.0	23.0
ENSGALG00000000402	LOXL2	0.6	40.0	2.0	8.0	11.0	6.0	3.0	13.0	24.0
ENSGALG00000000404	COPS2	40.0	89.0	23.0	45.0	25.0	65.0	48.0	69.0	378.0
ENSGALG00000000406	ENSGALG00000000406	0.2	0.5	0.2	0.3			0.1		3.0
ENSGALG00000000407	ENSGALG00000000407	3.0	1.0	5.0	1.0	0.7	2.0	3.0	3.0	2.0
ENSGALG00000000408	LSM7	40.0	48.0	17.0	31.0	18.0	45.0	18.0	51.0	28.0
ENSGALG00000000409	CHMP7	87.0	68.0	57.0	49.0	34.0	135.0	95.0	86.0	226.0
ENSGALG00000000410	TLK2	24.0	45.0	5.0	32.0	18.0	75.0	25.0	74.0	73.0
ENSGALG00000000417	SLC16A4	0.6	3.0	2.0	313.0	1.0	4.0	0.1	4.0	0.2
ENSGALG00000000419	LAMTOR5	99.0	111.0	57.0	104.0	43.0	146.0	57.0	98.0	51.0
ENSGALG00000000424	CMTM3	4.0	39.0	7.0	17.0	18.0	40.0	6.0	171.0	18.0
ENSGALG00000000428	ENSGALG00000000428	505.0	261.0	390.0	390.0	226.0	153.0	224.0	225.0	162.0
ENSGALG00000000430	SPPL2B	2.0	6.0	2.0	5.0	4.0	7.0	0.6	11.0	30.0
ENSGALG00000000433	ENSGALG00000000433	109.0	12.0	26.0	12.0	10.0	8.0	29.0	10.0	15.0
ENSGALG00000000437	ENSGALG00000000437		0.3							6.0
ENSGALG00000000438	ERMP1	2.0	19.0	0.1	5.0	8.0	11.0	0.1	24.0	29.0
ENSGALG00000000441	KCNA10		0.1							1.0
ENSGALG00000000442	KCNA2	50.0	8.0	0.6	1.0	0.3	7.0	0.1	10.0	2.0
ENSGALG00000000451	MEIG1	0.2	1.0	0.1	0.6		14.0		0.2	206.0
ENSGALG00000000452	ENSGALG00000000452	2.0	16.0	11.0	15.0	10.0	88.0	1.0	20.0	7.0
ENSGALG00000000456	MRPS21	65.0	74.0	68.0	84.0	58.0	52.0	88.0	71.0	31.0
ENSGALG00000000458	TMPRSS9	0.1			0.4	0.1	5.0		0.1	1.0
ENSGALG00000000461	MRC2	7.0	64.0	9.0	26.0	15.0	74.0	5.0	22.0	20.0
ENSGALG00000000466	LCK	0.6	38.0	2.0	7.0	8.0	26.0	0.1	194.0	0.3
ENSGALG00000000469	ADRA1A	0.2							0.1	0.1
ENSGALG00000000470	LMNB2	6.0	45.0	3.0	11.0	3.0	14.0	1.0	36.0	12.0
ENSGALG00000000474	RPL36	534.0	737.0	312.0	531.0	372.0	542.0	310.0	892.0	306.0
ENSGALG00000000476	LRRTM4	65.0	0.6	0.4	0.8	1.0	0.4		2.0	1.0
ENSGALG00000000477	ENSGALG00000000477	0.1	0.1		0.2	0.1				15.0
ENSGALG00000000478	ENSGALG00000000478	56.0	6.0	0.2	10.0	0.3	13.0	0.8	2.0	6.0
ENSGALG00000000483	ENSGALG00000000483	5.0	0.3				1.0			
ENSGALG00000000497	ENSGALG00000000497	0.2	130.0	0.4	0.5	0.4	0.7		5.0	0.5
ENSGALG00000000498	ENSGALG00000000498	3.0	23.0	33.0	99.0	0.2	253.0	1.0	4.0	3.0
ENSGALG00000000504	ETV7	0.1	8.0	0.2	0.6	2.0	5.0	0.1	8.0	3.0
ENSGALG00000000505	KCNH6	5.0	5.0	33.0		0.2	1.0	5.0	0.2	0.6
ENSGALG00000000507	CPNE7	147.0	0.5	0.2	0.3	0.2	1.0		1.0	0.7
ENSGALG00000000510	DCAF7	10.0	13.0	4.0	8.0	3.0	14.0	4.0	25.0	17.0
ENSGALG00000000511	KCTD20	31.0	46.0	8.0	15.0	8.0	60.0	15.0	55.0	27.0
ENSGALG00000000513	ZNF276	12.0	30.0	8.0	14.0	13.0	31.0	8.0	38.0	25.0
ENSGALG00000000516	FANCA	2.0	11.0	0.1	0.4	0.8	2.0		2.0	13.0
ENSGALG00000000518	KLHL12	54.0	18.0	10.0	13.0	10.0	12.0	4.0	20.0	19.0
ENSGALG00000000521	SPIRE2	55.0	71.0	0.2	3.0	49.0	2.0		0.1	0.2
ENSGALG00000000523	STK38	6.0	29.0	1.0	19.0	16.0	64.0	4.0	112.0	15.0
ENSGALG00000000525	MAP3K3	3.0	27.0	1.0	14.0	5.0	42.0	7.0	57.0	52.0
ENSGALG00000000528	DBNDD1	19.0	10.0	3.0	19.0	10.0	13.0	0.5	7.0	159.0
ENSGALG00000000529	LIMD2	17.0	40.0	13.0	8.0	5.0	38.0	1.0	160.0	7.0
ENSGALG00000000533	SRSF3	96.0	220.0	85.0	123.0	83.0	223.0	46.0	283.0	203.0
ENSGALG00000000535	ERRFI1	15.0	20.0	2.0	8.0	18.0	30.0	2.0	52.0	22.0
ENSGALG00000000538	ENSGALG00000000538	26.0	45.0	23.0	24.0	18.0	83.0	18.0	55.0	312.0
