# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-513
# Selected columns: 16 (all)
# Timestamp: Sat, 25-Aug-2018 02:48:02
Gene ID	Gene Name	adipose tissue	adrenal gland	brain	breast	colon	heart	kidney	leukocyte	liver	lung	lymph node	ovary	prostate gland	skeletal muscle tissue	testis	thyroid gland
ENSG00000000003	TSPAN6	56.0	16.0	15.0	45.0	29.0	4.0	32.0	0.4	73.0	37.0	15.0	76.0	45.0	1.0	56.0	53.0
ENSG00000000005	TNMD	44.0	15.0	0.3	125.0	4.0	0.4	0.3			0.2	0.9	2.0	1.0	0.1	2.0	0.6
ENSG00000000419	DPM1	54.0	93.0	76.0	73.0	63.0	44.0	83.0	99.0	39.0	79.0	79.0	117.0	110.0	45.0	130.0	159.0
ENSG00000000457	SCYL3	4.0	9.0	7.0	8.0	4.0	2.0	6.0	12.0	4.0	3.0	8.0	15.0	12.0	2.0	8.0	12.0
ENSG00000000460	C1orf112	2.0	2.0	1.0	2.0	0.9	0.4	1.0	2.0	2.0	1.0	3.0	3.0	3.0	0.2	15.0	2.0
ENSG00000000938	FGR	25.0	22.0	3.0	7.0	3.0	3.0	6.0	498.0	5.0	82.0	32.0	5.0	6.0	2.0	2.0	7.0
ENSG00000000971	CFH	53.0	87.0	13.0	73.0	60.0	25.0	28.0	4.0	467.0	79.0	182.0	399.0	80.0	8.0	72.0	116.0
ENSG00000001036	FUCA2	73.0	71.0	41.0	77.0	35.0	30.0	72.0	60.0	44.0	47.0	44.0	106.0	44.0	8.0	75.0	92.0
ENSG00000001084	GCLC	14.0	25.0	31.0	32.0	12.0	6.0	22.0	13.0	29.0	16.0	13.0	20.0	41.0	7.0	14.0	49.0
ENSG00000001167	NFYA	17.0	16.0	19.0	17.0	12.0	5.0	18.0	55.0	6.0	42.0	22.0	40.0	26.0	8.0	57.0	26.0
ENSG00000001460	STPG1	2.0	3.0	6.0	3.0	2.0	0.9	3.0	1.0	0.4	4.0	3.0	7.0	5.0	0.8	17.0	3.0
ENSG00000001461	NIPAL3	6.0	10.0	71.0	10.0	10.0	12.0	15.0	26.0	2.0	13.0	15.0	11.0	10.0	0.9	8.0	31.0
ENSG00000001497	LAS1L	16.0	25.0	17.0	12.0	11.0	3.0	12.0	15.0	8.0	11.0	11.0	26.0	22.0	4.0	21.0	28.0
ENSG00000001561	ENPP4	36.0	25.0	95.0	38.0	30.0	24.0	52.0	35.0	7.0	64.0	31.0	16.0	58.0	25.0	34.0	41.0
ENSG00000001617	SEMA3F	46.0	18.0	3.0	8.0	12.0	4.0	19.0	0.1	2.0	69.0	26.0	7.0	22.0	2.0	5.0	15.0
ENSG00000001626	CFTR	0.2	0.3	1.0	0.2	6.0	0.2	1.0	0.1	1.0	9.0	0.2	3.0	1.0		0.7	0.6
ENSG00000001629	ANKIB1	16.0	22.0	43.0	25.0	15.0	10.0	26.0	27.0	4.0	16.0	28.0	40.0	28.0	6.0	41.0	29.0
ENSG00000001630	CYP51A1	2.0	1.0	3.0	1.0	0.9	0.4	2.0	1.0	2.0	2.0	1.0	5.0	1.0	0.7	4.0	2.0
ENSG00000001631	KRIT1	10.0	22.0	16.0	14.0	10.0	9.0	15.0	15.0	5.0	12.0	18.0	31.0	25.0	7.0	26.0	31.0
ENSG00000002016	RAD52	4.0	12.0	6.0	6.0	5.0	2.0	6.0	3.0	2.0	4.0	14.0	12.0	14.0	3.0	6.0	9.0
ENSG00000002079	MYH16		0.1	0.1	0.1			0.1						0.1		1.0	
ENSG00000002330	BAD	23.0	30.0	23.0	29.0	24.0	13.0	21.0	14.0	11.0	24.0	22.0	31.0	33.0	6.0	36.0	32.0
ENSG00000002549	LAP3	90.0	211.0	98.0	97.0	47.0	36.0	159.0	109.0	45.0	156.0	100.0	60.0	83.0	29.0	95.0	80.0
ENSG00000002586	CD99	242.0	355.0	56.0	295.0	162.0	83.0	43.0	263.0	90.0	206.0	185.0	255.0	357.0	81.0	292.0	117.0
ENSG00000002587	HS3ST1	0.5	5.0	2.0	0.7	0.8	0.4	5.0	1.0	0.2	3.0	3.0	22.0	4.0	0.4	6.0	1.0
ENSG00000002726	AOC1	0.2	0.7	0.1	0.3	7.0	0.4	74.0	1.0	0.6	0.1	0.8	0.2	0.6		8.0	0.5
ENSG00000002745	WNT16		2.0	1.0	0.1	0.5		0.2	2.0	0.1	0.6	2.0	0.3	0.8		2.0	
ENSG00000002746	HECW1	0.1	0.1	15.0	0.1	0.1		0.3			0.1		0.3	0.3	0.1	1.0	0.5
ENSG00000002822	MAD1L1	6.0	7.0	4.0	5.0	3.0	1.0	3.0	10.0	1.0	4.0	3.0	9.0	5.0	6.0	11.0	6.0
ENSG00000002834	LASP1	95.0	112.0	37.0	134.0	51.0	12.0	50.0	232.0	46.0	93.0	98.0	118.0	43.0	7.0	46.0	46.0
ENSG00000002919	SNX11	11.0	30.0	14.0	17.0	10.0	4.0	17.0	65.0	8.0	12.0	23.0	19.0	22.0	7.0	16.0	30.0
ENSG00000002933	TMEM176A	23.0	102.0	13.0	14.0	51.0	11.0	146.0	61.0	450.0	37.0	113.0	82.0	27.0	2.0	21.0	19.0
ENSG00000003056	M6PR	34.0	57.0	28.0	37.0	31.0	19.0	40.0	172.0	20.0	49.0	64.0	69.0	52.0	19.0	44.0	100.0
ENSG00000003096	KLHL13	2.0	4.0	6.0	6.0	6.0	3.0	14.0	0.2	0.5	5.0	2.0	15.0	20.0	1.0	11.0	2.0
ENSG00000003137	CYP26B1	76.0	23.0	15.0	26.0	8.0	0.9	22.0		0.6	3.0	21.0	12.0	7.0	10.0	49.0	12.0
ENSG00000003147	ICA1	18.0	12.0	16.0	15.0	4.0	11.0	13.0	2.0	10.0	7.0	6.0	3.0	13.0	0.8	24.0	10.0
ENSG00000003249	DBNDD1	0.6	3.0	15.0	4.0	1.0	1.0	4.0	3.0	0.5	3.0	2.0	5.0	3.0	3.0	2.0	4.0
ENSG00000003393	ALS2	6.0	8.0	14.0	7.0	4.0	9.0	8.0	6.0	7.0	7.0	4.0	9.0	10.0	7.0	11.0	11.0
ENSG00000003400	CASP10	7.0	19.0	2.0	11.0	3.0	3.0	8.0	34.0	4.0	22.0	23.0	7.0	7.0	1.0	4.0	6.0
ENSG00000003402	CFLAR	31.0	49.0	12.0	36.0	12.0	19.0	22.0	49.0	8.0	57.0	39.0	18.0	22.0	27.0	14.0	66.0
ENSG00000003436	TFPI	52.0	110.0	4.0	23.0	36.0	11.0	35.0	2.0	53.0	184.0	93.0	17.0	38.0	14.0	22.0	36.0
ENSG00000003509	NDUFAF7	7.0	12.0	10.0	6.0	10.0	9.0	9.0	6.0	8.0	6.0	11.0	9.0	15.0	4.0	46.0	12.0
ENSG00000003756	RBM5	14.0	40.0	18.0	22.0	12.0	8.0	20.0	27.0	7.0	23.0	42.0	43.0	41.0	7.0	25.0	31.0
ENSG00000003987	MTMR7	1.0	3.0	32.0	2.0	2.0	0.7	2.0	0.6	0.6	1.0	1.0	6.0	2.0	0.9	2.0	3.0
ENSG00000003989	SLC7A2	51.0	39.0	34.0	25.0	33.0	15.0	26.0		95.0	37.0	48.0	166.0	28.0	167.0	67.0	68.0
ENSG00000004059	ARF5	60.0	70.0	69.0	51.0	36.0	20.0	55.0	121.0	33.0	75.0	60.0	68.0	79.0	36.0	66.0	69.0
ENSG00000004139	SARM1	0.9	3.0	2.0	1.0	0.8	0.3	1.0	2.0	0.5	0.9	3.0	4.0	3.0	0.1	1.0	2.0
ENSG00000004142	POLDIP2	94.0	109.0	111.0	104.0	60.0	101.0	122.0	94.0	180.0	57.0	72.0	125.0	119.0	215.0	117.0	189.0
ENSG00000004399	PLXND1	52.0	74.0	12.0	51.0	11.0	9.0	14.0	33.0	7.0	36.0	47.0	27.0	21.0	4.0	21.0	23.0
ENSG00000004455	AK2	38.0	65.0	24.0	56.0	34.0	14.0	61.0	76.0	55.0	50.0	36.0	70.0	53.0	23.0	37.0	86.0
ENSG00000004468	CD38	3.0	14.0	10.0	4.0	1.0	5.0	0.6	16.0	3.0	7.0	25.0	3.0	3.0	1.0	0.9	3.0
ENSG00000004478	FKBP4	43.0	29.0	65.0	32.0	140.0	19.0	118.0	43.0	41.0	77.0	158.0	132.0	116.0	107.0	153.0	233.0
ENSG00000004487	KDM1A	28.0	37.0	31.0	28.0	24.0	12.0	27.0	37.0	11.0	30.0	32.0	74.0	48.0	33.0	142.0	54.0
ENSG00000004534	RBM6	20.0	59.0	24.0	27.0	13.0	9.0	25.0	22.0	8.0	30.0	62.0	65.0	38.0	9.0	36.0	59.0
ENSG00000004660	CAMKK1	2.0	6.0	46.0	2.0	4.0	1.0	1.0	3.0	0.2	2.0	3.0	6.0	15.0	1.0	5.0	4.0
ENSG00000004700	RECQL	37.0	36.0	13.0	25.0	23.0	15.0	14.0	49.0	4.0	22.0	30.0	29.0	23.0	9.0	20.0	34.0
ENSG00000004766	VPS50	4.0	8.0	13.0	6.0	5.0	4.0	10.0	12.0	2.0	3.0	8.0	13.0	11.0	6.0	11.0	13.0
ENSG00000004776	HSPB6	491.0	231.0	32.0	976.0	534.0	333.0	21.0		14.0	150.0	110.0	331.0	628.0	574.0	543.0	387.0
ENSG00000004777	ARHGAP33	0.9	2.0	8.0	1.0	0.8	0.4	0.9	0.3	0.2	1.0	2.0	10.0	5.0	0.4	11.0	2.0
ENSG00000004779	NDUFAB1	33.0	75.0	91.0	86.0	67.0	185.0	81.0	64.0	71.0	57.0	57.0	67.0	96.0	58.0	77.0	84.0
ENSG00000004799	PDK4	1820.0	172.0	77.0	322.0	897.0	1568.0	404.0	53.0	77.0	140.0	104.0	36.0	1240.0	3911.0	131.0	232.0
