# Expression Atlas
# Query: Genes matching: 'default query', specifically expressed above the expression level cutoff: 0 TPM in experiment E-MTAB-3719
# Selected columns: 6 (all)
# Timestamp: Fri, 24-Aug-2018 23:20:29
Gene ID	Gene Name	brain	cerebellum	heart	kidney	liver	testis
ENSMODG00000000001	ENSMODG00000000001	43.0	43.0				
ENSMODG00000000002	ENSMODG00000000002			0.6		0.3	0.3
ENSMODG00000000003	ENSMODG00000000003						58.0
ENSMODG00000000005	PRKX	3.0	1.0	0.4	7.0	0.5	3.0
ENSMODG00000000006	INAVA	1.0	0.6		3.0	0.4	14.0
ENSMODG00000000008	ENSMODG00000000008	7.0	13.0	3.0	8.0	4.0	7.0
ENSMODG00000000011	PCDH9	50.0	43.0				
ENSMODG00000000012	SPOCK2	371.0	639.0	15.0	77.0	4.0	10.0
ENSMODG00000000013	ENSMODG00000000013	0.1	0.7			0.2	0.5
ENSMODG00000000014	ENSMODG00000000014						95.0
ENSMODG00000000015	ENSMODG00000000015	0.1			0.1		0.1
ENSMODG00000000016	ENSMODG00000000016						15.0
ENSMODG00000000018	ENSMODG00000000018						58.0
ENSMODG00000000020	MXRA5	0.3	0.1	0.2	0.4	0.1	5.0
ENSMODG00000000021	ENSMODG00000000021	31.0	26.0	6.0	24.0	5.0	11.0
ENSMODG00000000022	ENSMODG00000000022	11.0	16.0	2.0	7.0	2.0	14.0
ENSMODG00000000026	CLCA2					0.3	2.0
ENSMODG00000000029	ENSMODG00000000029						0.2
ENSMODG00000000031	ANAPC16	89.0	116.0	77.0	108.0	24.0	109.0
ENSMODG00000000032	BMPER	2.0	4.0		0.4	1.0	
ENSMODG00000000033	ARC	57.0	2.0	0.1	4.0		2.0
ENSMODG00000000034	PCDH7	9.0	4.0	24.0	1.0	0.1	0.3
ENSMODG00000000035	DDIT4	54.0	69.0	49.0	46.0	53.0	29.0
ENSMODG00000000036	ARSH	0.1	0.7		0.1		0.3
ENSMODG00000000038	LYPD2		0.2		48.0		
ENSMODG00000000040	ENSMODG00000000040	2.0	2.0	1.0	4.0	1.0	4.0
ENSMODG00000000041	BPIFB6						0.7
ENSMODG00000000042	THEM6	323.0	384.0	4.0	8.0	4.0	46.0
ENSMODG00000000043	DNAJB12	37.0	55.0	21.0	35.0	18.0	32.0
ENSMODG00000000044	ARSE	2.0	0.4	0.2	0.6	0.1	0.4
ENSMODG00000000048	ENSMODG00000000048	0.4					12.0
ENSMODG00000000049	ARSD	0.4	0.2	2.0	20.0	7.0	3.0
ENSMODG00000000050	BPIFB3	0.1					0.3
ENSMODG00000000052	MGA	7.0	10.0	3.0	4.0	2.0	8.0
ENSMODG00000000053	SLC7A11	4.0	1.0				0.3
ENSMODG00000000054	ENSMODG00000000054	0.1				7.0	4.0
ENSMODG00000000056	ENSMODG00000000056	7.0	3.0	3.0	5.0	3.0	21.0
ENSMODG00000000057	BPIFB4	0.6	0.2	0.3			0.2
ENSMODG00000000058	NPSR1	0.3					5.0
ENSMODG00000000060	GYG2	2.0	2.0		1.0	3.0	0.1
ENSMODG00000000065	DPY19L1	10.0	8.0	6.0	18.0	16.0	7.0
ENSMODG00000000067	MICU1	29.0	60.0	14.0	28.0	18.0	144.0
ENSMODG00000000068	DHRSX	12.0	11.0	5.0	21.0	14.0	7.0
ENSMODG00000000074	ASMT	0.1	0.7				0.7
ENSMODG00000000076	ENSMODG00000000076	2.0	0.1		0.1		0.7
ENSMODG00000000079	ENSMODG00000000079	0.5	0.4		0.5	0.1	36.0
ENSMODG00000000082	ENSMODG00000000082	14.0	7.0	5.0	7.0	6.0	56.0
ENSMODG00000000083	ENSMODG00000000083	43.0	19.0	8.0	10.0	11.0	25.0
ENSMODG00000000084	ENSMODG00000000084		0.2		0.1		
ENSMODG00000000085	TBX20	0.5	0.4	86.0	0.2	6.0	
ENSMODG00000000086	P2RY8	0.2	0.2	0.6	0.5	0.1	1.0
ENSMODG00000000087	NOCT	33.0	37.0	19.0	10.0	13.0	14.0
ENSMODG00000000088	MCU	19.0	30.0	6.0	11.0	9.0	10.0
ENSMODG00000000089	ELF2	13.0	32.0	18.0	25.0	12.0	28.0
ENSMODG00000000090	ASMTL	13.0	10.0	9.0	13.0	100.0	16.0
ENSMODG00000000092	TYRO3	218.0	123.0	3.0	8.0	0.2	57.0
ENSMODG00000000094	APPL1	21.0	18.0	42.0	12.0	8.0	73.0
ENSMODG00000000095	OIT3		0.1		0.2	25.0	
ENSMODG00000000097	CCDC82	7.0	7.0	1.0	1.0	1.0	16.0
ENSMODG00000000098	NDUFC1	195.0	173.0	881.0	305.0	186.0	73.0
ENSMODG00000000099	CNTNAP5	29.0	33.0				0.5
ENSMODG00000000101	ENSMODG00000000101	486.0	758.0	432.0	1672.0	456.0	43.0
ENSMODG00000000102	PLA2G12B	0.1			11.0	45.0	2.0
ENSMODG00000000104	MAML2	6.0	11.0	3.0	8.0	2.0	3.0
ENSMODG00000000105	ASB14	0.9	1.0	43.0	0.2	0.1	2.0
ENSMODG00000000106	ENSMODG00000000106			0.2	0.5	0.5	0.2
ENSMODG00000000107	NAA15	8.0	5.0	3.0	5.0	5.0	8.0
ENSMODG00000000109	TBC1D19	14.0	10.0	2.0	9.0	0.9	17.0
ENSMODG00000000111	RPAP1	21.0	23.0	8.0	11.0	5.0	18.0
ENSMODG00000000113	CCKAR	0.1					
ENSMODG00000000115	ENSMODG00000000115	1.0	0.9	1.0	4.0	30.0	7.0
ENSMODG00000000116	MTMR2	11.0	9.0	4.0	5.0	1.0	13.0
ENSMODG00000000117	LTK	28.0	9.0		6.0	0.2	2.0
ENSMODG00000000118	RAB33B	7.0	8.0	3.0	4.0	9.0	11.0
ENSMODG00000000120	ENSMODG00000000120	0.4		0.7	0.1	0.2	17.0
ENSMODG00000000121	P4HA1	32.0	56.0	27.0	67.0	24.0	23.0
ENSMODG00000000122	SETD7	28.0	48.0	2.0	3.0	13.0	31.0
ENSMODG00000000123	ENSMODG00000000123	24.0	9.0	1.0	3.0	2.0	27.0
ENSMODG00000000124	KLHL1	0.7	8.0		0.2		0.7
ENSMODG00000000125	GRIFIN	2.0	0.4	0.4	1.0	0.4	0.2
ENSMODG00000000126	ITPKA	30.0	11.0		0.7	0.7	
ENSMODG00000000127	ENSMODG00000000127		0.1		0.4	0.1	0.1
ENSMODG00000000129	RBPJ	7.0	7.0	4.0	9.0	4.0	25.0
ENSMODG00000000130	LFNG	27.0	48.0	7.0	55.0	7.0	0.7
