AvgSpotLen	BioSample	Experiment	Library_Name	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	Sample_Name	biomaterial_provider	collected_by	collection_date	geo_loc_name	sex	tissue	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	isolate	isolation_source
202	SAMN03272998	SRX1044303	Sample_CR-19_Ova	2015-10-05	5364	2095	2015-06-02	SRR2045866	SRS949737	Octopus bimaculoides ova	Carrie Albertin, Clifton Ragsdale	Carrie Albertin, University of Chicago	2013	USA: California	female	ova	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744423	SRX1044305	Obimac_testes	2015-10-05	7077	2811	2015-06-02	SRR2045870	SRS949739	Octopus bimaculoides testes			2012-12	USA:California	male	testes	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744430	SRX1045409	Obimac_psg	2015-10-05	6861	2711	2015-06-02	SRR2047107	SRS950656	Octopus bimaculoides Posterior Salivary Gland	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California	male	posterior salivary gland	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744431	SRX1045410	Obimac_skin	2015-10-05	7557	2988	2015-06-02	SRR2047109	SRS950658	Octopus bimaculoides Skin	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California		skin	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744432	SRX1045411	Obimac_suckers	2015-10-05	6763	2659	2015-06-02	SRR2047111	SRS950659	Octopus bimaculoides Suckers	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California	male	suckers	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744433	SRX1045413	Obimac_stage15	2015-10-02	6475	2559	2015-06-02	SRR2047114	SRS950660	Octopus bimaculoides Stage 15	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California		embryos	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744434	SRX1045414	Obimac_retina	2015-10-05	6068	2397	2015-06-02	SRR2047116	SRS950661	Octopus bimaculoides Retina	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California	male	retina	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744435	SRX1045415	Obimac_ol	2015-10-05	5832	2285	2015-06-02	SRR2047118	SRS950662	Octopus bimaculoides Optic Lobe	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California	male	optic lobe	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744438	SRX1045418	Obimac_anc	2015-10-05	5980	2354	2015-06-02	SRR2047120	SRS950665	Octopus bimaculoides Axial Nerve Cord	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California	female	axial nerve cord	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
202	SAMN03744429	SRX1045423	Obimac_viscera	2015-10-05	6844	2702	2015-06-02	SRR2047122	SRS950667	Octopus bimaculoides Viscera	Carrie Albertin, Clifton Ragsdale	Crissy Huffard, Roy Caldwell	2012	USA:California		hepatopancreas, kidney, heart	RNA-Seq	PRJNA285380	Invertebrate	UC BERKELEY	public	sra	sra-sos	sra-sos.public	300	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	Octopus bimaculoides	ILLUMINA	SRP058882	wild caught	Pacific Ocean
