# Expression Atlas
# Query: Genes matching: 'default query', specifically  expressed above the expression level cutoff: 0 TPM in experiment E-GEOD-62778
# Selected columns: 10 (all)
# Timestamp: Fri, 07-Dec-2018 22:18:08
Gene ID	Gene Name	aleurone	basal endosperm transfer layer	central starchy endosperm	conducting zone	plant embryo	plant embryo-surrounding region	nucellus	pericarp	placento-chalazal region	vascular region of the pedicel
Zm00001d000001	polyphenol oxidase1								31.0		
Zm00001d000002	dull endosperm1	150.0	8.0	264.0	118.0	15.0	34.0	275.0	41.0	105.0	28.0
Zm00001d000003	Zm00001d000003						1.0				
Zm00001d000004	Zm00001d000004	40.0	27.0	43.0	36.0	24.0	51.0	87.0	71.0	94.0	75.0
Zm00001d000005	Zm00001d000005	41.0	8.0	23.0	19.0	73.0	35.0	12.0	24.0	4.0	7.0
Zm00001d000009	Zm00001d000009	17.0	41.0	49.0	113.0	0.4	59.0	2.0	1.0	0.7	0.5
Zm00001d000011	Zm00001d000011	17.0	2.0	12.0	7.0	17.0	12.0	61.0	46.0	7.0	16.0
Zm00001d000013	Zm00001d000013		0.4			0.6		0.8			
Zm00001d000019	Zm00001d000019	96.0	20.0	96.0	58.0	76.0	59.0	160.0	131.0	124.0	273.0
Zm00001d000021	glucose 6-phosphate/phosphate translocator1	213.0	153.0	352.0	327.0	255.0	148.0	486.0	524.0	992.0	226.0
Zm00001d000023	Zm00001d000023	11.0	7.0	11.0	11.0	15.0	15.0	13.0	10.0	4.0	14.0
Zm00001d000026	Zm00001d000026	0.6									
Zm00001d000027	Zm00001d000027	7.0	3.0	5.0	6.0	9.0	6.0	6.0	14.0	0.9	12.0
Zm00001d000028	Zm00001d000028						0.1				0.8
Zm00001d000029	Zm00001d000029	41.0	30.0	31.0	29.0	22.0	35.0	142.0	103.0	88.0	129.0
Zm00001d000030	Zm00001d000030	159.0	45.0	149.0	131.0	122.0	56.0	107.0	73.0	47.0	99.0
Zm00001d000032	Zm00001d000032					29.0	56.0				
