"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","WBGene00000001","I",5107833,5110183,2350
"2","WBGene00000002","IV",9598986,9601695,2709
"3","WBGene00000003","V",9244402,9246360,1958
"4","WBGene00000004","X",2552436,2557726,5290
"5","WBGene00000005","IV",6272529,6275713,3184
"6","WBGene00000006","I",2571782,2576020,4238
"7","WBGene00000007","V",11466844,11470663,3819
"8","WBGene00000008","II",1386888,1391567,4679
"9","WBGene00000009","IV",3862129,3865042,2913
"10","WBGene00000010","I",11388689,11396660,7971
"11","WBGene00000012","I",3886111,3887080,969
"12","WBGene00000013","I",3885548,3885905,357
"13","WBGene00000014","V",15817410,15817846,436
"14","WBGene00000015","V",20557945,20558379,434
"15","WBGene00000016","X",12792727,12793386,659
"16","WBGene00000017","X",12794118,12794870,752
"17","WBGene00000018","X",10605832,10624185,18353
"18","WBGene00000019","IV",10206189,10214911,8722
"19","WBGene00000020","I",2255923,2272866,16943
"20","WBGene00000021","IV",12950315,12957128,6813
"21","WBGene00000022","V",323774,330725,6951
"22","WBGene00000023","I",12011195,12018668,7473
"23","WBGene00000024","V",10380340,10381826,1486
"24","WBGene00000025","X",1408836,1410652,1816
"25","WBGene00000026","X",17553419,17554449,1030
"26","WBGene00000027","V",2274842,2275977,1135
"27","WBGene00000028","IV",15590697,15591772,1075
"28","WBGene00000029","V",5160671,5161892,1221
"29","WBGene00000030","V",5163396,5164759,1363
"30","WBGene00000031","V",5163269,5194608,31339
"31","WBGene00000032","X",8322111,8323418,1307
"32","WBGene00000033","X",3798179,3799741,1562
"33","WBGene00000034","II",192531,194558,2027
"34","WBGene00000035","X",16367229,16373789,6560
"35","WBGene00000036","I",3302001,3307587,5586
"36","WBGene00000037","II",14205633,14210214,4581
"37","WBGene00000038","II",14198046,14205325,7279
"38","WBGene00000039","X",5092458,5097067,4609
"39","WBGene00000040","X",11339874,11343568,3694
"40","WBGene00000041","III",7973717,7977355,3638
"41","WBGene00000042","X",6702463,6709142,6679
"42","WBGene00000043","X",6709538,6712925,3387
"43","WBGene00000044","III",6509699,6514768,5069
"44","WBGene00000045","I",4359207,4362548,3341
"45","WBGene00000046","II",7845662,7849797,4135
"46","WBGene00000047","X",10412725,10416630,3905
"47","WBGene00000048","X",13642348,13646898,4550
"48","WBGene00000049","X",4022273,4025584,3311
"49","WBGene00000050","I",6621687,6624894,3207
"50","WBGene00000051","X",13532871,13536433,3562
"51","WBGene00000053","II",8174845,8177195,2350
"52","WBGene00000054","V",8552695,8555388,2693
"53","WBGene00000055","V",8561216,8564345,3129
"54","WBGene00000056","V",2608656,2615247,6591
"55","WBGene00000057","V",15551155,15559147,7992
"56","WBGene00000058","I",9031274,9036695,5421
"57","WBGene00000059","II",14373831,14377890,4059
"58","WBGene00000060","III",6581927,6586549,4622
"59","WBGene00000061","X",7503823,7506633,2810
"60","WBGene00000062","V",3651686,3659499,7813
