"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","ENSGALG00000000003","1",20328226,20347898,19672
"2","ENSGALG00000000011","6",32362856,32366096,3240
"3","ENSGALG00000000038","11",1969779,1971563,1784
"4","ENSGALG00000000044","14",13962836,13964455,1619
"5","ENSGALG00000000048","25",482603,488101,5498
"6","ENSGALG00000000055","4",60121988,60126244,4256
"7","ENSGALG00000000059","11",18842577,18845331,2754
"8","ENSGALG00000000067","4",89868567,89871730,3163
"9","ENSGALG00000000071","1",190327368,190335382,8014
"10","ENSGALG00000000081","16",2367597,2478250,110653
"11","ENSGALG00000000086","26",1113674,1120743,7069
"12","ENSGALG00000000091","1",194331748,194363395,31647
"13","ENSGALG00000000094","26",1106026,1112697,6671
"14","ENSGALG00000000102","26",1099146,1102387,3241
"15","ENSGALG00000000104","26",1089542,1098705,9163
"16","ENSGALG00000000106","26",1079126,1090634,11508
"17","ENSGALG00000000107","16",2482327,2491638,9311
"18","ENSGALG00000000109","18",9856717,9860064,3347
"19","ENSGALG00000000112","4",1997678,2003292,5614
"20","ENSGALG00000000115","16",2492672,2494263,1591
"21","ENSGALG00000000120","22",421956,427810,5854
"22","ENSGALG00000000122","16",2525327,2529817,4490
"23","ENSGALG00000000129","11",18820548,18838454,17906
"24","ENSGALG00000000136","16",2558049,2560828,2779
"25","ENSGALG00000000137","26",1678657,1680974,2317
"26","ENSGALG00000000141","16",2565094,2566926,1832
"27","ENSGALG00000000142","26",1041982,1065980,23998
"28","ENSGALG00000000146","19",5921244,5941204,19960
"29","ENSGALG00000000150","4",69289315,69296300,6985
"30","ENSGALG00000000151","Z",45410076,45570562,160486
"31","ENSGALG00000000154","26",1029892,1037452,7560
"32","ENSGALG00000000156","16",2574359,2580734,6375
"33","ENSGALG00000000158","16",2584405,2586614,2209
"34","ENSGALG00000000161","Z",45666922,45706187,39265
"35","ENSGALG00000000162","16",2586004,2588894,2890
"36","ENSGALG00000000164","26",1011100,1020640,9540
"37","ENSGALG00000000168","26",991509,1008522,17013
"38","ENSGALG00000000172","26",978298,981812,3514
"39","ENSGALG00000000184","Z",45721101,45760913,39812
"40","ENSGALG00000000186","26",1670781,1679287,8506
"41","ENSGALG00000000189","Z",45786454,45824614,38160
