"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","ENSG00000000003","X",100627109,100639991,12882
"2","ENSG00000000005","X",100584936,100599885,14949
"3","ENSG00000000419","20",50934867,50958555,23688
"4","ENSG00000000457","1",169849631,169894267,44636
"5","ENSG00000000460","1",169662007,169854080,192073
"6","ENSG00000000938","1",27612064,27635185,23121
"7","ENSG00000000971","1",196651878,196747504,95626
"8","ENSG00000001036","6",143494811,143511690,16879
"9","ENSG00000001084","6",53497341,53616970,119629
"10","ENSG00000001167","6",41072945,41099976,27031
"11","ENSG00000001460","1",24356999,24416934,59935
"12","ENSG00000001461","1",24415802,24472976,57174
"13","ENSG00000001497","X",65512582,65534775,22193
"14","ENSG00000001561","6",46129989,46146688,16699
"15","ENSG00000001617","3",50155045,50189075,34030
"16","ENSG00000001626","7",117465784,117715971,250187
"17","ENSG00000001629","7",92245974,92401383,155409
"18","ENSG00000001630","7",92112153,92134803,22650
"19","ENSG00000001631","7",92198969,92246166,47197
"20","ENSG00000002016","12",912077,990053,77976
"21","ENSG00000002079","7",99238829,99311130,72301
"22","ENSG00000002330","11",64269830,64284704,14874
"23","ENSG00000002549","4",17577192,17607972,30780
"24","ENSG00000002586","X",2691187,2741309,50122
"25","ENSG00000002587","4",11393150,11429564,36414
"26","ENSG00000002726","7",150824627,150861504,36877
"27","ENSG00000002745","7",121325367,121341104,15737
"28","ENSG00000002746","7",43112629,43566001,453372
"29","ENSG00000002822","7",1815793,2233243,417450
"30","ENSG00000002834","17",38869859,38921770,51911
"31","ENSG00000002919","17",48103357,48123074,19717
"32","ENSG00000002933","7",150800403,150805118,4715
"33","ENSG00000003056","12",8940361,8949761,9400
"34","ENSG00000003096","X",117897813,118117340,219527
"35","ENSG00000003137","2",72129238,72148038,18800
"36","ENSG00000003147","7",8113184,8262687,149503
"37","ENSG00000003249","16",90004865,90020128,15263
"38","ENSG00000003393","2",201700267,201780956,80689
"39","ENSG00000003400","2",201182881,201229406,46525
"40","ENSG00000003402","2",201116154,201176687,60533
"41","ENSG00000003436","2",187464230,187565760,101530
"42","ENSG00000003509","2",37231631,37253403,21772
"43","ENSG00000003756","3",50088908,50119021,30113
"44","ENSG00000003987","8",17296794,17413528,116734
"45","ENSG00000003989","8",17497088,17570573,73485
"46","ENSG00000004059","7",127588386,127591700,3314
"47","ENSG00000004139","17",28364356,28404049,39693
"48","ENSG00000004142","17",28346633,28357527,10894
"49","ENSG00000004399","3",129555175,129606818,51643
"50","ENSG00000004455","1",33007940,33080996,73056
"51","ENSG00000004468","4",15778275,15853232,74957
"52","ENSG00000004478","12",2794970,2805423,10453
"53","ENSG00000004487","1",23019443,23083689,64246
"54","ENSG00000004534","3",49940007,50100045,160038
"55","ENSG00000004660","17",3860315,3894891,34576
"56","ENSG00000004700","12",21468910,21501669,32759
"57","ENSG00000004766","7",93232340,93361123,128783
"58","ENSG00000004776","19",35754566,35758079,3513
"59","ENSG00000004777","19",35774532,35788822,14290
"60","ENSG00000004779","16",23581014,23596316,15302
"61","ENSG00000004799","7",95583499,95596516,13017
"62","ENSG00000004809","6",110424687,110476641,51954
"63","ENSG00000004838","3",50341110,50345732,4622
"64","ENSG00000004846","7",20615207,20777038,161831
"65","ENSG00000004848","X",25003694,25016420,12726
"66","ENSG00000004864","7",96120220,96322147,201927
"67","ENSG00000004866","7",116953238,117230103,276865
"68","ENSG00000004897","17",47117703,47189422,71719
"69","ENSG00000004939","17",44248390,44268141,19751
"70","ENSG00000004948","7",93424487,93574730,150243
"71","ENSG00000004961","X",11111301,11123086,11785
"72","ENSG00000004975","17",7225342,7234517,9175
"73","ENSG00000005001","16",2852730,2858170,5440
"74","ENSG00000005007","19",18831938,18868236,36298
"75","ENSG00000005020","7",26667068,26995239,328171
"76","ENSG00000005022","X",119468422,119471396,2974
"77","ENSG00000005059","4",109560209,109688719,128510
"78","ENSG00000005073","7",27181510,27185223,3713
"79","ENSG00000005075","7",102473118,102478907,5789
"80","ENSG00000005100","17",5440917,5468982,28065
"81","ENSG00000005102","17",43640389,43661922,21533
"82","ENSG00000005108","7",11370365,11832198,461833
"83","ENSG00000005156","17",34980494,35009743,29249
"84","ENSG00000005175","12",47661249,47706030,44781
"85","ENSG00000005187","16",20610243,20797581,187338
"86","ENSG00000005189","16",20806429,20849668,43239
"87","ENSG00000005194","16",57428187,57447420,19233
"88","ENSG00000005206","19",2328615,2355095,26480
"89","ENSG00000005238","9",35104112,35116341,12229
"90","ENSG00000005243","17",48026167,48038030,11863
"91","ENSG00000005249","7",107044705,107161811,117106
"92","ENSG00000005302","X",11758159,11775772,17613
"93","ENSG00000005339","16",3725054,3880726,155672
"94","ENSG00000005379","17",58301228,58328795,27567
"95","ENSG00000005381","17",58269856,58280935,11079
"96","ENSG00000005421","7",95297676,95324707,27031
"97","ENSG00000005436","2",75652000,75710989,58989
"98","ENSG00000005448","2",74421678,74425755,4077
"99","ENSG00000005469","7",87345681,87399795,54114
"100","ENSG00000005471","7",87401697,87480435,78738
"101","ENSG00000005483","7",105014190,105115019,100829
"102","ENSG00000005486","7",75842602,75888926,46324
"103","ENSG00000005513","16",981770,986979,5209
"104","ENSG00000005700","6",82169986,82247754,77768
"105","ENSG00000005801","11",3339261,3379222,39961
"106","ENSG00000005810","13",77044657,77327094,282437
"107","ENSG00000005812","13",76992598,77027195,34597
"108","ENSG00000005844","16",30472658,30523185,50527
"109","ENSG00000005882","17",50094737,50112152,17415
"110","ENSG00000005884","17",50055968,50090481,34513
"111","ENSG00000005889","X",24149173,24216255,67082
