"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","ENSACAG00000000002","AAWZ02036500",57,24966,24909
"2","ENSACAG00000000003","GL343298.1",382762,383478,716
"3","ENSACAG00000000004","AAWZ02037281",917,3083,2166
"4","ENSACAG00000000006","5",56399421,56439432,40011
"5","ENSACAG00000000007","5",56207307,56390378,183071
"6","ENSACAG00000000008","GL343592.1",377831,378006,175
"7","ENSACAG00000000009","GL343592.1",383044,431316,48272
"8","ENSACAG00000000010","AAWZ02036318",1365,13507,12142
"9","ENSACAG00000000011","AAWZ02036318",15192,28124,12932
"10","ENSACAG00000000012","GL344868.1",2970,9978,7008
"11","ENSACAG00000000013","6",32194075,32364304,170229
"12","ENSACAG00000000014","6",32849361,32865768,16407
"13","ENSACAG00000000015","6",32865073,32894860,29787
"14","ENSACAG00000000016","6",32938536,32945799,7263
"15","ENSACAG00000000017","6",32947222,32955883,8661
"16","ENSACAG00000000018","6",32979477,33004588,25111
"17","ENSACAG00000000019","6",33107899,33304466,196567
"18","ENSACAG00000000020","5",12823388,12852929,29541
"19","ENSACAG00000000021","5",12799686,12818924,19238
"20","ENSACAG00000000022","5",12649701,12776919,127218
"21","ENSACAG00000000024","5",12377219,12454539,77320
"22","ENSACAG00000000026","5",12351838,12360427,8589
"23","ENSACAG00000000027","AAWZ02038099",807,1183,376
"24","ENSACAG00000000028","5",12207683,12335637,127954
"25","ENSACAG00000000029","AAWZ02038536",285,8491,8206
"26","ENSACAG00000000030","AAWZ02041297",1011,3365,2354
"27","ENSACAG00000000031","5",12084608,12143471,58863
"28","ENSACAG00000000032","5",11969736,12077422,107686
"29","ENSACAG00000000033","5",11936789,11955459,18670
"30","ENSACAG00000000034","5",11886209,11931909,45700
"31","ENSACAG00000000035","5",11824545,11877262,52717
"32","ENSACAG00000000036","5",11644186,11683392,39206
"33","ENSACAG00000000037","5",11427369,11611880,184511
"34","ENSACAG00000000038","5",11324639,11363802,39163
"35","ENSACAG00000000039","5",11288836,11321695,32859
"36","ENSACAG00000000042","1",66306676,66314838,8162
"37","ENSACAG00000000043","1",66327388,66525731,198343
"38","ENSACAG00000000044","1",66622601,66629484,6883
"39","ENSACAG00000000045","1",66632086,66675396,43310
"40","ENSACAG00000000046","1",66707614,66748533,40919
"41","ENSACAG00000000047","1",66773690,66774871,1181
"42","ENSACAG00000000048","1",66778470,66870434,91964
"43","ENSACAG00000000051","1",66890849,66949839,58990
"44","ENSACAG00000000052","1",66982664,67095580,112916
"45","ENSACAG00000000053","1",67277630,67287305,9675
"46","ENSACAG00000000054","1",67298921,67311593,12672
"47","ENSACAG00000000055","1",67348426,67505179,156753
"48","ENSACAG00000000057","1",67635627,67657531,21904
"49","ENSACAG00000000058","1",67690956,67709418,18462
"50","ENSACAG00000000059","1",67709437,67744518,35081
"51","ENSACAG00000000060","1",67753410,67775098,21688
"52","ENSACAG00000000061","1",67792747,67811950,19203
"53","ENSACAG00000000062","1",67814852,67847723,32871
"54","ENSACAG00000000063","1",67850166,67864236,14070
"55","ENSACAG00000000064","1",67869567,67885623,16056
"56","ENSACAG00000000065","1",67922611,67971237,48626
"57","ENSACAG00000000066","1",67988391,68033979,45588
"58","ENSACAG00000000067","1",68039261,68104629,65368
"59","ENSACAG00000000068","1",68208286,68313947,105661
"60","ENSACAG00000000070","1",68455131,68527757,72626
"61","ENSACAG00000000071","1",68530710,68540182,9472
"62","ENSACAG00000000073","1",68593585,68628666,35081
"63","ENSACAG00000000074","1",68646490,68699662,53172
"64","ENSACAG00000000075","1",68778119,68778732,613
"65","ENSACAG00000000076","1",68732281,68732730,449
"66","ENSACAG00000000077","1",68784032,68867384,83352
"67","ENSACAG00000000079","GL343363.1",10058,25729,15671
"68","ENSACAG00000000080","GL343363.1",942808,961857,19049
"69","ENSACAG00000000081","GL343363.1",1113441,1123045,9604
"70","ENSACAG00000000082","AAWZ02039446",2834,4938,2104
"71","ENSACAG00000000083","GL343674.1",245029,248542,3513
"72","ENSACAG00000000084","GL343392.1",638245,719118,80873
"73","ENSACAG00000000085","GL343392.1",777376,796525,19149
"74","ENSACAG00000000086","GL343392.1",799049,805633,6584
"75","ENSACAG00000000087","GL343392.1",814067,825003,10936
