"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","ENSMODG00000000001","7",122757216,122916959,159743
"2","ENSMODG00000000002","5",145989715,145990161,446
"3","ENSMODG00000000003","8",204471644,204477122,5478
"4","ENSMODG00000000005","7",45783445,45978844,195399
"5","ENSMODG00000000006","2",104259348,104284523,25175
"6","ENSMODG00000000008","4",261827928,261829022,1094
"7","ENSMODG00000000011","7",123403897,123433514,29617
"8","ENSMODG00000000012","1",48803982,48839860,35878
"9","ENSMODG00000000013","8",204556919,204573347,16428
"10","ENSMODG00000000014","5",144324142,144324600,458
"11","ENSMODG00000000015","7",124621096,124623030,1934
"12","ENSMODG00000000016","5",144011304,144012227,923
"13","ENSMODG00000000018","1",400325640,400331442,5802
"14","ENSMODG00000000020","7",46438099,46474562,36463
"15","ENSMODG00000000021","2",413014846,413015526,680
"16","ENSMODG00000000022","1",199067622,199094410,26788
"17","ENSMODG00000000026","2",41385159,41433462,48303
"18","ENSMODG00000000029","1",154122154,154123065,911
"19","ENSMODG00000000031","1",48968948,48982431,13483
"20","ENSMODG00000000032","6",206450164,206760986,310822
"21","ENSMODG00000000033","3",428515303,428516589,1286
"22","ENSMODG00000000034","5",195699202,195795621,96419
"23","ENSMODG00000000035","1",49021696,49023941,2245
"24","ENSMODG00000000036","7",46893607,47044060,150453
"25","ENSMODG00000000038","3",428809815,428813384,3569
"26","ENSMODG00000000040","5",142683376,142697325,13949
"27","ENSMODG00000000041","1",400216332,400237671,21339
"28","ENSMODG00000000042","3",428719821,428728923,9102
"29","ENSMODG00000000043","1",49128516,49143625,15109
"30","ENSMODG00000000044","7",46983213,47019444,36231
"31","ENSMODG00000000048","3",428312196,428421526,109330
"32","ENSMODG00000000049","7",47042976,47077298,34322
"33","ENSMODG00000000050","1",400160322,400194922,34600
"34","ENSMODG00000000052","1",198867502,198952358,84856
"35","ENSMODG00000000053","5",141870283,141987389,117106
"36","ENSMODG00000000054","8",204627118,204727563,100445
"37","ENSMODG00000000056","2",41499701,41587872,88171
"38","ENSMODG00000000057","1",400111951,400132569,20618
"39","ENSMODG00000000058","6",207251608,207419843,168235
"40","ENSMODG00000000060","7",47115385,47177807,62422
"41","ENSMODG00000000065","6",207493044,207592780,99736
"42","ENSMODG00000000067","1",49175586,49413285,237699
"43","ENSMODG00000000068","7",47675919,48205196,529277
"44","ENSMODG00000000074","7",49032315,49082774,50459
"45","ENSMODG00000000076","2",41742817,41836906,94089
"46","ENSMODG00000000079","6",207622947,207828327,205380
"47","ENSMODG00000000082","7",49096754,49141724,44970
"48","ENSMODG00000000083","5",200608985,200628021,19036
