"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","ENSBTAG00000000005","17",65389743,65505336,115593
"2","ENSBTAG00000000008","29",32214439,32244810,30371
"3","ENSBTAG00000000009","18",12338037,12342272,4235
"4","ENSBTAG00000000010","21",34209956,34223394,13438
"5","ENSBTAG00000000011","8",7950815,7971600,20785
"6","ENSBTAG00000000012","20",33708626,33732944,24318
"7","ENSBTAG00000000013","20",33674806,33703223,28417
"8","ENSBTAG00000000014","5",74883636,74893752,10116
"9","ENSBTAG00000000015","5",74905031,74919112,14081
"10","ENSBTAG00000000016","23",27720176,27721739,1563
"11","ENSBTAG00000000019","9",28722620,28756268,33648
"12","ENSBTAG00000000020","19",24239065,24273712,34647
"13","ENSBTAG00000000021","5",65820520,65886932,66412
"14","ENSBTAG00000000022","5",65900759,65952780,52021
"15","ENSBTAG00000000023","16",66079548,66123232,43684
"16","ENSBTAG00000000024","24",48722549,49123072,400523
"17","ENSBTAG00000000025","15",53150637,53241816,91179
"18","ENSBTAG00000000026","21",21647398,21672875,25477
"19","ENSBTAG00000000027","18",53529692,53531044,1352
"20","ENSBTAG00000000029","19",45222278,45251778,29500
"21","ENSBTAG00000000030","19",45209905,45220950,11045
"22","ENSBTAG00000000031","17",63410753,63447169,36416
"23","ENSBTAG00000000032","19",37351934,37361182,9248
"24","ENSBTAG00000000033","19",37344874,37351524,6650
"25","ENSBTAG00000000037","20",14466137,14726313,260176
"26","ENSBTAG00000000039","19",50976407,50982602,6195
"27","ENSBTAG00000000040","19",50967339,50972885,5546
"28","ENSBTAG00000000042","19",50957969,50962684,4715
"29","ENSBTAG00000000044","19",50953006,50956142,3136
"30","ENSBTAG00000000046","11",104263216,104266858,3642
"31","ENSBTAG00000000049","5",107294769,107321571,26802
"32","ENSBTAG00000000050","25",41386821,41387986,1165
"33","ENSBTAG00000000052","29",28809868,28892935,83067
"34","ENSBTAG00000000053","9",14918898,15136983,218085
"35","ENSBTAG00000000054","11",103832673,103855230,22557
"36","ENSBTAG00000000056","19",47979733,48007680,27947
"37","ENSBTAG00000000057","3",15414611,15425793,11182
"38","ENSBTAG00000000060","14",33786654,33805075,18421
"39","ENSBTAG00000000061","6",49958089,50426482,468393
"40","ENSBTAG00000000062","10",11993897,12010945,17048
"41","ENSBTAG00000000064","29",40236821,40241623,4802
"42","ENSBTAG00000000065","13",48186875,48209791,22916
"43","ENSBTAG00000000066","13",48213047,48233309,20262
"44","ENSBTAG00000000067","17",72112056,72114638,2582
"45","ENSBTAG00000000070","16",75944878,75966734,21856
"46","ENSBTAG00000000071","14",44644660,44649977,5317
"47","ENSBTAG00000000072","16",30802001,30820756,18755
"48","ENSBTAG00000000073","6",115369803,115384234,14431
"49","ENSBTAG00000000074","3",84203809,84620790,416981
"50","ENSBTAG00000000076","8",60326356,60410644,84288
"51","ENSBTAG00000000077","5",111674844,111692267,17423
"52","ENSBTAG00000000078","8",60421784,60442493,20709
"53","ENSBTAG00000000079","28",1263858,1279408,15550
"54","ENSBTAG00000000080","18",55124924,55130987,6063
"55","ENSBTAG00000000081","10",6796016,6925123,129107
"56","ENSBTAG00000000082","18",55136577,55140932,4355
"57","ENSBTAG00000000084","20",30060705,30070007,9302
"58","ENSBTAG00000000085","21",33923110,33930074,6964
"59","ENSBTAG00000000087","15",73781285,73958433,177148
"60","ENSBTAG00000000088","1",49930775,50160291,229516
"61","ENSBTAG00000000090","26",21378976,21411785,32809
"62","ENSBTAG00000000091","26",21414963,21420753,5790
"63","ENSBTAG00000000092","26",21422679,21431814,9135
"64","ENSBTAG00000000094","3",99466613,99491947,25334
"65","ENSBTAG00000000095","8",39246075,39263677,17602
"66","ENSBTAG00000000097","3",99421569,99457891,36322
"67","ENSBTAG00000000098","3",19801955,19834258,32303
"68","ENSBTAG00000000099","3",19792564,19804799,12235
"69","ENSBTAG00000000102","11",36562674,36569539,6865
"70","ENSBTAG00000000103","29",49542736,49549261,6525
"71","ENSBTAG00000000105","3",14853319,14862517,9198
"72","ENSBTAG00000000106","24",4042759,4060302,17543
"73","ENSBTAG00000000108","3",14834858,14852135,17277
"74","ENSBTAG00000000109","5",110424099,110445709,21610
"75","ENSBTAG00000000111","11",62288610,62345665,57055
"76","ENSBTAG00000000113","3",14781460,14813371,31911
"77","ENSBTAG00000000115","11",62347545,62449163,101618
"78","ENSBTAG00000000120","19",28895131,28947210,52079
"79","ENSBTAG00000000123","3",23732791,23763956,31165
"80","ENSBTAG00000000124","5",30728408,30733209,4801
"81","ENSBTAG00000000125","17",34422664,34747076,324412
"82","ENSBTAG00000000128","20",3226532,3263206,36674
"83","ENSBTAG00000000130","19",27292078,27294941,2863
"84","ENSBTAG00000000131","19",27296635,27304659,8024
"85","ENSBTAG00000000132","19",27305005,27311552,6547
"86","ENSBTAG00000000133","19",27312058,27314128,2070
"87","ENSBTAG00000000134","19",27315837,27319239,3402
"88","ENSBTAG00000000137","6",67179392,67325259,145867
"89","ENSBTAG00000000139","17",52211310,52228130,16820
"90","ENSBTAG00000000140","16",28833307,28874202,40895
"91","ENSBTAG00000000141","11",67778940,67807964,29024
"92","ENSBTAG00000000144","4",82533901,82573389,39488
"93","ENSBTAG00000000145","8",94282767,94283720,953
"94","ENSBTAG00000000146","12",75180883,75458745,277862
"95","ENSBTAG00000000147","5",70063366,70163866,100500
"96","ENSBTAG00000000149","3",113167613,113257470,89857
"97","ENSBTAG00000000152","11",44646703,44708627,61924
"98","ENSBTAG00000000153","18",46630276,46637137,6861
"99","ENSBTAG00000000154","X",12114840,12117263,2423
"100","ENSBTAG00000000157","11",44615244,44645726,30482
"101","ENSBTAG00000000160","1",143219189,143242441,23252
"102","ENSBTAG00000000161","22",56388054,56420506,32452
"103","ENSBTAG00000000162","28",28287394,28297656,10262
"104","ENSBTAG00000000163","28",28323892,28325899,2007
"105","ENSBTAG00000000164","8",72732208,72736000,3792
"106","ENSBTAG00000000168","11",57045486,57045764,278
"107","ENSBTAG00000000169","4",51002521,51078365,75844
"108","ENSBTAG00000000170","17",71311471,71316105,4634
"109","ENSBTAG00000000172","X",92370954,92471753,100799
"110","ENSBTAG00000000175","6",59106229,59159354,53125
"111","ENSBTAG00000000176","2",22797327,22853605,56278
"112","ENSBTAG00000000177","25",650311,653932,3621
"113","ENSBTAG00000000179","25",666146,669347,3201
"114","ENSBTAG00000000181","8",84444102,84464852,20750
"115","ENSBTAG00000000182","18",48078059,48108357,30298
"116","ENSBTAG00000000184","11",47433953,47515738,81785
"117","ENSBTAG00000000185","X",734360,840270,105910
"118","ENSBTAG00000000186","3",15602874,15609853,6979
"119","ENSBTAG00000000188","9",36081835,36375043,293208
"120","ENSBTAG00000000189","4",45537952,46117403,579451
"121","ENSBTAG00000000191","22",51045061,51080116,35055
"122","ENSBTAG00000000195","18",64632169,64640989,8820
"123","ENSBTAG00000000197","6",25073203,25099775,26572
"124","ENSBTAG00000000198","5",44297841,44302777,4936
"125","ENSBTAG00000000199","14",70358934,70367406,8472
"126","ENSBTAG00000000201","1",7183913,7240822,56909
