"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","Zm00001d000001","B73V4_ctg150",48820,51164,2344
"2","Zm00001d000002","B73V4_ctg150",193401,204736,11335
"3","Zm00001d000003","B73V4_ctg150",205855,207073,1218
"4","Zm00001d000004","B73V4_ctg150",262374,271967,9593
"5","Zm00001d000005","B73V4_ctg150",272045,275576,3531
"6","Zm00001d000009","B73V4_ctg150",597986,627204,29218
"7","Zm00001d000011","B73V4_ctg150",728868,734454,5586
"8","Zm00001d000013","B73V4_ctg150",816802,818350,1548
"9","Zm00001d000019","B73V4_ctg150",1315610,1316049,439
"10","Zm00001d000021","B73V4_ctg150",1459856,1464045,4189
"11","Zm00001d000023","B73V4_ctg150",1548548,1563325,14777
"12","Zm00001d000026","B73V4_ctg182",41961,43672,1711
"13","Zm00001d000027","B73V4_ctg182",51471,61298,9827
"14","Zm00001d000028","B73V4_ctg182",72804,74351,1547
"15","Zm00001d000029","B73V4_ctg182",112441,117019,4578
"16","Zm00001d000030","B73V4_ctg182",118656,122184,3528
"17","Zm00001d000032","B73V4_ctg182",259037,259393,356
"18","Zm00001d000034","B73V4_ctg182",378277,384064,5787
"19","Zm00001d000035","B73V4_ctg182",384330,387202,2872
"20","Zm00001d000038","B73V4_ctg182",474177,478548,4371
"21","Zm00001d000039","B73V4_ctg182",516538,520597,4059
"22","Zm00001d000040","B73V4_ctg182",631843,638267,6424
"23","Zm00001d000041","B73V4_ctg182",664090,674232,10142
"24","Zm00001d000042","B73V4_ctg182",729582,756794,27212
"25","Zm00001d000045","B73V4_ctg182",953004,953960,956
"26","Zm00001d000046","B73V4_ctg182",1051027,1054330,3303
"27","Zm00001d000051","B73V4_ctg182",1206837,1207997,1160
"28","Zm00001d000052","B73V4_ctg182",1208564,1214385,5821
"29","Zm00001d000053","B73V4_ctg182",1230822,1235148,4326
"30","Zm00001d000055","B73V4_ctg10",94253,97609,3356
"31","Zm00001d000062","B73V4_ctg10",518227,519667,1440
"32","Zm00001d000065","B73V4_ctg10",633830,634595,765
"33","Zm00001d000066","B73V4_ctg10",655391,657780,2389
"34","Zm00001d000071","B73V4_ctg10",856578,871342,14764
"35","Zm00001d000072","B73V4_ctg10",917444,925264,7820
"36","Zm00001d000074","B73V4_ctg31",78320,91352,13032
"37","Zm00001d000076","B73V4_ctg31",236238,242444,6206
"38","Zm00001d000077","B73V4_ctg31",243552,267664,24112
"39","Zm00001d000079","B73V4_ctg31",359763,361867,2104
"40","Zm00001d000080","B73V4_ctg31",421411,431957,10546
"41","Zm00001d000083","B73V4_ctg31",542102,559398,17296
"42","Zm00001d000085","B73V4_ctg31",591995,597038,5043
"43","Zm00001d000086","B73V4_ctg31",602596,604282,1686
"44","Zm00001d000087","B73V4_ctg31",604646,610425,5779
"45","Zm00001d000089","B73V4_ctg31",638364,640659,2295
"46","Zm00001d000093","B73V4_ctg31",721884,723473,1589
"47","Zm00001d000096","B73V4_ctg31",791577,793010,1433
"48","Zm00001d000098","B73V4_ctg91",51271,76184,24913
"49","Zm00001d000099","B73V4_ctg91",203934,209968,6034
"50","Zm00001d000102","B73V4_ctg91",576085,577149,1064
"51","Zm00001d000104","B73V4_ctg91",664683,665212,529
"52","Zm00001d000109","B73V4_ctg52",51214,56714,5500
"53","Zm00001d000110","B73V4_ctg52",187964,193349,5385
"54","Zm00001d000112","B73V4_ctg52",346937,349561,2624
"55","Zm00001d000113","B73V4_ctg52",429347,430532,1185
"56","Zm00001d000116","B73V4_ctg52",628311,634545,6234
"57","Zm00001d000117","B73V4_ctg142",68137,71202,3065
"58","Zm00001d000120","B73V4_ctg142",542642,545404,2762
"59","Zm00001d000122","B73V4_ctg56",93250,99802,6552
"60","Zm00001d000123","B73V4_ctg56",100371,104438,4067
"61","Zm00001d000124","B73V4_ctg56",125718,130113,4395
"62","Zm00001d000126","B73V4_ctg56",252289,254953,2664
"63","Zm00001d000128","B73V4_ctg56",342643,344161,1518
"64","Zm00001d000133","B73V4_ctg56",492709,499020,6311
"65","Zm00001d000134","B73V4_ctg56",517290,518693,1403
"66","Zm00001d000135","B73V4_ctg65",75416,77421,2005
"67","Zm00001d000137","B73V4_ctg65",290651,294129,3478
"68","Zm00001d000141","B73V4_ctg65",630898,631815,917
"69","Zm00001d000143","B73V4_ctg193",266240,271023,4783
"70","Zm00001d000147","B73V4_ctg193",374808,378665,3857
"71","Zm00001d000150","B73V4_ctg75",116649,127114,10465
"72","Zm00001d000152","B73V4_ctg75",176002,183308,7306
"73","Zm00001d000153","B73V4_ctg75",228571,239357,10786
"74","Zm00001d000154","B73V4_ctg75",356241,356918,677
"75","Zm00001d000156","B73V4_ctg75",455266,458201,2935
"76","Zm00001d000158","B73V4_ctg53",105994,107904,1910
"77","Zm00001d000160","B73V4_ctg53",296217,299719,3502
"78","Zm00001d000161","B73V4_ctg53",334998,335553,555
"79","Zm00001d000162","B73V4_ctg53",356335,358296,1961
"80","Zm00001d000164","B73V4_ctg50",6747,9235,2488
"81","Zm00001d000165","B73V4_ctg50",47321,48070,749
"82","Zm00001d000166","B73V4_ctg50",84566,91323,6757
"83","Zm00001d000168","B73V4_ctg50",189024,191498,2474
"84","Zm00001d000169","B73V4_ctg50",207558,215785,8227
"85","Zm00001d000170","B73V4_ctg50",223163,226388,3225
"86","Zm00001d000175","B73V4_ctg181",42145,44112,1967
"87","Zm00001d000178","B73V4_ctg181",132473,138116,5643
"88","Zm00001d000179","B73V4_ctg181",214703,215548,845
"89","Zm00001d000180","B73V4_ctg181",244852,246066,1214
"90","Zm00001d000181","B73V4_ctg181",248690,250107,1417
"91","Zm00001d000183","B73V4_ctg181",307491,312293,4802
"92","Zm00001d000184","B73V4_ctg181",314008,317339,3331
"93","Zm00001d000189","B73V4_ctg140",276457,292237,15780
"94","Zm00001d000191","B73V4_ctg72",95773,118440,22667
"95","Zm00001d000193","B73V4_ctg178",149138,155338,6200
"96","Zm00001d000194","B73V4_ctg178",177577,178790,1213
"97","Zm00001d000195","B73V4_ctg178",202000,204559,2559
"98","Zm00001d000196","B73V4_ctg178",204778,207105,2327
"99","Zm00001d000197","B73V4_ctg178",216729,217247,518
"100","Zm00001d000199","B73V4_ctg178",309330,314476,5146
"101","Zm00001d000200","B73V4_ctg6",82969,83806,837
"102","Zm00001d000202","B73V4_ctg6",202989,206597,3608
"103","Zm00001d000204","B73V4_ctg129",15011,19789,4778
"104","Zm00001d000205","B73V4_ctg129",44771,52582,7811
"105","Zm00001d000208","B73V4_ctg129",53844,54317,473
"106","Zm00001d000209","B73V4_ctg129",57550,60005,2455
"107","Zm00001d000211","B73V4_ctg129",111431,116621,5190
"108","Zm00001d000213","B73V4_ctg129",120508,127694,7186
"109","Zm00001d000214","B73V4_ctg129",173140,174744,1604
"110","Zm00001d000220","B73V4_ctg26",115480,117114,1634
"111","Zm00001d000222","B73V4_ctg26",144186,147832,3646
"112","Zm00001d000223","B73V4_ctg26",177561,180711,3150
"113","Zm00001d000224","B73V4_ctg26",181370,185154,3784
"114","Zm00001d000226","B73V4_ctg170",40997,63503,22506
"115","Zm00001d000227","B73V4_ctg98",2666,3625,959
"116","Zm00001d000228","B73V4_ctg98",12548,19095,6547
"117","Zm00001d000230","B73V4_ctg98",35084,39721,4637
"118","Zm00001d000232","B73V4_ctg98",63869,68060,4191
"119","Zm00001d000236","B73V4_ctg44",29069,33275,4206
"120","Zm00001d000237","B73V4_ctg44",71975,73515,1540
"121","Zm00001d000238","B73V4_ctg49",34019,35965,1946
"122","Zm00001d000240","B73V4_ctg11",22240,26791,4551
"123","Zm00001d000241","B73V4_ctg11",49629,52020,2391
"124","Zm00001d000242","B73V4_ctg11",52503,52820,317
"125","Zm00001d000243","B73V4_ctg11",97859,98410,551
"126","Zm00001d000247","B73V4_ctg123",9585,17517,7932
"127","Zm00001d000255","B73V4_ctg20",20953,24151,3198
"128","Zm00001d000256","B73V4_ctg100",4352,11693,7341
"129","Zm00001d000257","B73V4_ctg77",1,3900,3899
"130","Zm00001d000258","B73V4_ctg134",2887,2958,71
"131","Zm00001d000259","B73V4_ctg134",4126,4213,87
"132","Zm00001d000260","B73V4_ctg134",5196,6257,1061
"133","Zm00001d000263","B73V4_ctg134",9186,9259,73
"134","Zm00001d000264","B73V4_ctg134",11997,12068,71
