"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","FBgn0262374","2L",8258616,8258692,76
"2","FBgn0265984","2R",22689495,22690295,800
"3","FBgn0025637","X",656114,657899,1785
"4","FBgn0029858","X",6291303,6294177,2874
"5","FBgn0044049","3L",9803399,9804263,864
"6","FBgn0038461","3R",16990334,16991878,1544
"7","FBgn0035721","3L",6955991,6957440,1449
"8","FBgn0263473","2R",18994696,18994842,146
"9","FBgn0040383","X",750347,758719,8372
"10","FBgn0032728","2L",18969028,18972004,2976
"11","FBgn0039250","3R",24922473,24925160,2687
"12","FBgn0266167","2L",10004310,10005043,733
"13","FBgn0267440","3R",9821390,9822259,869
"14","FBgn0266535","3L",13208543,13208958,415
"15","FBgn0030398","X",12553124,12554235,1111
"16","FBgn0038223","3R",14320191,14326689,6498
"17","FBgn0082969","2R",21330434,21330565,131
"18","FBgn0031866","2L",6874900,6906656,31756
"19","FBgn0266246","3R",12335924,12339275,3351
"20","FBgn0267627","3L",22359458,22360868,1410
"21","FBgn0266642","2R",21309395,21310146,751
"22","FBgn0036799","3L",18600150,18617943,17793
"23","FBgn0013683","mitochondrion_genome",9545,9835,290
"24","FBgn0035692","3L",6192124,6193179,1055
"25","FBgn0054025","3L",2959722,2961049,1327
"26","FBgn0267606","3L",21003707,21004201,494
"27","FBgn0261856","2R",7000154,7001696,1542
"28","FBgn0265532","X",2071710,2072189,479
"29","FBgn0042106","3R",23684057,23686537,2480
"30","FBgn0001124","2R",16138352,16141928,3576
"31","FBgn0266621","2R",6663395,6664195,800
"32","FBgn0053252","X",16896215,16897187,972
"33","FBgn0263832","3L",4040529,4042597,2068
"34","FBgn0011965","3R",5388228,5388300,72
"35","FBgn0039719","3R",29905464,29906448,984
"36","FBgn0029718","X",4647871,4648646,775
"37","FBgn0025832","2R",16854025,16855464,1439
"38","FBgn0050466","2R",15568960,15573170,4210
"39","FBgn0038627","3R",18573091,18590726,17635
"40","FBgn0086662","3R",5598015,5598157,142
"41","FBgn0025866","3L",9888762,9893319,4557
"42","FBgn0053012","2R",12367353,12370886,3533
"43","FBgn0036133","3L",11109690,11112117,2427
"44","FBgn0264574","3L",914074,993788,79714
"45","FBgn0259186","2R",24517824,24519152,1328
"46","FBgn0053458","2R",16486674,16487801,1127
"47","FBgn0019686","2L",20061422,20064381,2959
"48","FBgn0034795","2R",22888928,22894425,5497
"49","FBgn0033766","2R",12679967,12686179,6212
"50","FBgn0029959","X",7734923,7736756,1833
"51","FBgn0035321","3L",2252744,2257423,4679
"52","FBgn0053511","2L",21081127,21082494,1367
"53","FBgn0034275","2R",17750293,17753214,2921
"54","FBgn0050406","2R",21848407,21848478,71
"55","FBgn0031835","2L",6568400,6601068,32668
"56","FBgn0259859","Y",941169,942020,851
"57","FBgn0263987","X",5412386,5420867,8481
"58","FBgn0032791","2L",19490262,19491679,1417
"59","FBgn0030625","X",15293031,15297169,4138
"60","FBgn0266148","2L",14557939,14558852,913
"61","FBgn0000316","X",255674,258469,2795
"62","FBgn0038855","3R",21102199,21105113,2914
"63","FBgn0038221","3R",14302428,14304458,2030
"64","FBgn0045866","3R",25039374,25040443,1069
"65","FBgn0000108","X",530501,579044,48543
"66","FBgn0266595","3L",13599230,13599883,653
"67","FBgn0036660","3L",16776531,16779736,3205
"68","FBgn0266377","2R",23657567,23680844,23277
"69","FBgn0035955","3L",9008624,9009838,1214
"70","FBgn0035279","3L",1824129,1831783,7654
"71","FBgn0027109","3R",16609220,16611325,2105
"72","FBgn0037633","3R",8803471,8805802,2331
"73","FBgn0028539","2L",13784084,13790562,6478
"74","FBgn0267171","X",21373635,21374417,782
"75","FBgn0040228","2L",15005733,15006607,874
"76","FBgn0250754","3R",16458280,16469663,11383
"77","FBgn0038238","3R",14559166,14560054,888
"78","FBgn0040334","X",2617758,2619738,1980
"79","FBgn0036010","3L",9542245,9543999,1754
"80","FBgn0037818","3R",10675560,10677251,1691
"81","FBgn0025885","2R",7454922,7458874,3952
"82","FBgn0267802","3R",7883693,7884441,748
"83","FBgn0039476","3R",27024968,27026109,1141
"84","FBgn0043841","2L",12403270,12423439,20169
"85","FBgn0037517","3R",7790633,7793483,2850
"86","FBgn0039437","3R",26624587,26625652,1065
"87","FBgn0032689","2L",18599755,18605249,5494
"88","FBgn0266001","2L",6507424,6508404,980
"89","FBgn0037460","3R",6626930,6627900,970
"90","FBgn0033737","2R",12428449,12431099,2650
"91","FBgn0052208","3L",19471656,19472228,572
"92","FBgn0036665","3L",16809658,16829074,19416
"93","FBgn0033076","2R",6600044,6600978,934
"94","FBgn0085205","2L",4004080,4004480,400
"95","FBgn0267439","2L",10392867,10393434,567
"96","FBgn0035496","3L",4093207,4094344,1137
"97","FBgn0030722","X",16061902,16062898,996
"98","FBgn0029813","X",5814864,5815820,956
"99","FBgn0036056","3L",9893188,9894743,1555
"100","FBgn0038567","3R",18152120,18153640,1520
"101","FBgn0037653","3R",9006456,9008030,1574
"102","FBgn0262476","2R",18514574,18526439,11865
"103","FBgn0037391","3R",5858083,5862405,4322
"104","FBgn0051822","2L",15836725,15837444,719
"105","FBgn0053192","3R",20534962,20535301,339
"106","FBgn0031091","X",20160355,20165830,5475
"107","FBgn0004841","3R",10737592,10751228,13636
"108","FBgn0265851","2R",20302195,20302995,800
"109","FBgn0039958","2L",23161122,23174484,13362
"110","FBgn0039381","3R",25881984,25888230,6246
"111","FBgn0000158","3R",25243039,25245057,2018
"112","FBgn0029941","X",7281089,7405797,124708
"113","FBgn0051760","2L",12142780,12170508,27728
"114","FBgn0032536","2L",13914725,13956188,41463
"115","FBgn0034691","2R",22080176,22085767,5591
"116","FBgn0000414","3L",16712126,16724575,12449
"117","FBgn0035851","3L",8191270,8196573,5303
"118","FBgn0040076","3R",13710017,13711835,1818
"119","FBgn0263038","2L",14163508,14180686,17178
"120","FBgn0011957","2R",6161535,6161607,72
"121","FBgn0043539","2L",1991381,1992160,779
"122","FBgn0035600","3L",5360211,5362798,2587
"123","FBgn0265597","X",12988615,13079070,90455
"124","FBgn0284243","2R",19447319,19451600,4281
"125","FBgn0003028","X",5048273,5070929,22656
"126","FBgn0028855","2L",14712471,14713298,827
"127","FBgn0011672","3R",21051383,21060800,9417
"128","FBgn0265740","3L",11034802,11035905,1103
"129","FBgn0265468","3L",11315299,11315860,561
"130","FBgn0039936","4",853557,867025,13468
"131","FBgn0266895","2L",16534962,16535228,266
"132","FBgn0024897","X",1686624,1690187,3563
"133","FBgn0053556","3L",7094818,7123297,28479
"134","FBgn0267099","X",9120717,9120918,201
"135","FBgn0266398","3R",26004278,26004681,403
"136","FBgn0032669","2L",18154851,18155942,1091
"137","FBgn0264260","2L",15776442,15776852,410
"138","FBgn0262816","2R",16380516,16385765,5249
"139","FBgn0083960","2L",4958411,4965430,7019
"140","FBgn0036740","3L",17620123,17621625,1502
"141","FBgn0262291","3L",11773731,11773878,147
"142","FBgn0039616","3R",28923044,28925086,2042
"143","FBgn0030196","X",10383353,10385861,2508
"144","FBgn0037877","3R",11217898,11220064,2166
"145","FBgn0035143","3L",581337,582810,1473
"146","FBgn0266203","2L",1380083,1381326,1243
"147","FBgn0051677","2L",20603535,20604196,661
"148","FBgn0032296","2L",10740782,10743935,3153
"149","FBgn0267390","3L",15566013,15576313,10300
"150","FBgn0261501","2R",17599389,17599607,218
"151","FBgn0082980","2L",22535458,22535593,135
"152","FBgn0261624","X",20881814,20882626,812
"153","FBgn0083973","2L",22151623,22152640,1017
"154","FBgn0032054","2L",8517411,8519176,1765
"155","FBgn0052344","3L",321233,324720,3487
"156","FBgn0267645","3L",4744950,4745310,360
"157","FBgn0267710","3R",20238507,20239091,584
"158","FBgn0011740","3R",9412548,9417264,4716
"159","FBgn0031972","2L",7999670,8004286,4616
"160","FBgn0038233","3R",14509049,14511712,2663
"161","FBgn0260959","2R",11895997,11903918,7921
"162","FBgn0032313","2L",10900501,10901785,1284
"163","FBgn0024320","2L",10213812,10221216,7404
"164","FBgn0050349","2R",8907518,8910885,3367
"165","FBgn0032251","2L",10439440,10441047,1607
"166","FBgn0266624","2R",7631495,7635219,3724
"167","FBgn0037231","3R",4307435,4310947,3512
"168","FBgn0036591","3L",16278458,16279271,813
"169","FBgn0265509","2R",15330395,15331195,800
"170","FBgn0052461","3L",22954421,22955302,881
"171","FBgn0030057","X",8688627,8690227,1600
"172","FBgn0034246","2R",17574979,17581525,6546
"173","FBgn0262877","2L",6932121,6932954,833
"174","FBgn0036483","3L",15131508,15136934,5426
"175","FBgn0002873","X",14247732,14258595,10863
"176","FBgn0026869","4",538332,557854,19522
"177","FBgn0035986","3L",9406179,9410832,4653
"178","FBgn0040285","X",15446179,15449883,3704
"179","FBgn0051631","2L",6799744,6799816,72
"180","FBgn0033339","2R",8893613,8898798,5185
"181","FBgn0031343","2L",1498455,1500608,2153
"182","FBgn0034871","2R",23511286,23512225,939
"183","FBgn0032020","2L",8320328,8321285,957
"184","FBgn0001254","3L",3510974,3512681,1707
"185","FBgn0267881","Y",3134941,3135206,265
"186","FBgn0014949","3R",22586149,22586625,476
"187","FBgn0263110","3L",4193993,4224003,30010
"188","FBgn0052440","3L",21360179,21361229,1050
"189","FBgn0267224","3L",16319440,16319931,491
"190","FBgn0286198","2L",7791175,7795959,4784
"191","FBgn0019936","3R",20822181,20823356,1175
"192","FBgn0036979","3L",20370313,20371746,1433
"193","FBgn0085810","3L",24553110,24554200,1090
"194","FBgn0035213","3L",1339460,1342403,2943
"195","FBgn0267201","3R",16214278,16214957,679
"196","FBgn0037005","3L",20506032,20507375,1343
"197","FBgn0051514","3R",9779519,9782693,3174
"198","FBgn0261841","3R",21365609,21368279,2670
"199","FBgn0037359","3R",5655139,5656336,1197
"200","FBgn0032782","2L",19432574,19435841,3267
"201","FBgn0039770","3R",30435177,30443599,8422
"202","FBgn0265070","2L",10695058,10698195,3137
"203","FBgn0038069","3R",12638481,12640033,1552
"204","FBgn0033179","2R",7465018,7466759,1741
"205","FBgn0003356","3R",29923754,29924615,861
"206","FBgn0032228","2L",10354743,10356597,1854
"207","FBgn0260955","2L",14744845,14745210,365
"208","FBgn0031857","2L",6759829,6772755,12926
"209","FBgn0004108","3L",16766072,16777465,11393
"210","FBgn0037824","3R",10706974,10707460,486
"211","FBgn0031655","2L",4955509,4958292,2783
"212","FBgn0036294","3L",12505374,12507840,2466
"213","FBgn0028644","2L",16000291,16041703,41412
"214","FBgn0261857","3R",20734748,20735323,575
"215","FBgn0010441","3R",27251131,27253182,2051
"216","FBgn0039099","3R",23678895,23679855,960
"217","FBgn0035237","3L",1576699,1600845,24146
"218","FBgn0038132","3R",13287655,13288813,1158
"219","FBgn0038659","3R",18906609,18910755,4146
"220","FBgn0038316","3R",15318203,15320069,1866
"221","FBgn0265586","2L",17625098,17625690,592
"222","FBgn0030390","X",12456409,12457763,1354
"223","FBgn0263559","X",21298275,21298345,70
"224","FBgn0030905","X",18258551,18259517,966
"225","FBgn0038941","3R",22329300,22330546,1246
"226","FBgn0036532","3L",15809485,15809977,492
"227","FBgn0034745","2R",22609334,22613376,4042
"228","FBgn0034774","2R",22755219,22755896,677
"229","FBgn0285954","X",16288810,16293520,4710
"230","FBgn0038816","3R",20635480,20644279,8799
"231","FBgn0033638","2R",11619479,11640941,21462
"232","FBgn0031564","2L",3703659,3704253,594
"233","FBgn0261807","2R",19635279,19635941,662
"234","FBgn0087021","3R",12961745,12963249,1504
"235","FBgn0263744","2L",16699921,16700825,904
"236","FBgn0267214","3R",25845678,25846318,640
"237","FBgn0036498","3L",15496574,15498055,1481
"238","FBgn0038960","3R",22405939,22408640,2701
"239","FBgn0029503","3R",24186359,24187785,1426
