"","ensembl_gene_id","chromosome_name","start_position","end_position","rank","exon_chrom_start","exon_chrom_end","strand","relative_start_position","relative_end_position","relative_exon_chrom_start","relative_exon_chrom_end","species"
"58809","ENSG00000068724","2",46916157,47076137,1,46916157,46916577,1,1527477,1687457,1527477,1527897,"hsap"
"58810","ENSG00000068724","2",46916157,47076137,2,46917184,46917277,1,1527477,1687457,1528504,1528597,"hsap"
"58811","ENSG00000068724","2",46916157,47076137,3,46950363,46950526,1,1527477,1687457,1561683,1561846,"hsap"
"58812","ENSG00000068724","2",46916157,47076137,4,46956839,46957007,1,1527477,1687457,1568159,1568327,"hsap"
"58813","ENSG00000068724","2",46916157,47076137,5,46974973,46975103,1,1527477,1687457,1586293,1586423,"hsap"
"58814","ENSG00000068724","2",46916157,47076137,6,46978792,46978907,1,1527477,1687457,1590112,1590227,"hsap"
"58815","ENSG00000068724","2",46916157,47076137,7,46993450,46993528,1,1527477,1687457,1604770,1604848,"hsap"
"58816","ENSG00000068724","2",46916157,47076137,8,46994357,46994514,1,1527477,1687457,1605677,1605834,"hsap"
"58817","ENSG00000068724","2",46916157,47076137,9,46995136,46995199,1,1527477,1687457,1606456,1606519,"hsap"
"58818","ENSG00000068724","2",46916157,47076137,10,47005922,47006059,1,1527477,1687457,1617242,1617379,"hsap"
"58819","ENSG00000068724","2",46916157,47076137,11,47006641,47006724,1,1527477,1687457,1617961,1618044,"hsap"
"58820","ENSG00000068724","2",46916157,47076137,12,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58821","ENSG00000068724","2",46916157,47076137,13,47021862,47021979,1,1527477,1687457,1633182,1633299,"hsap"
"58822","ENSG00000068724","2",46916157,47076137,14,47023408,47023465,1,1527477,1687457,1634728,1634785,"hsap"
"58823","ENSG00000068724","2",46916157,47076137,15,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58824","ENSG00000068724","2",46916157,47076137,16,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58825","ENSG00000068724","2",46916157,47076137,17,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58826","ENSG00000068724","2",46916157,47076137,18,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58827","ENSG00000068724","2",46916157,47076137,19,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58828","ENSG00000068724","2",46916157,47076137,20,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58829","ENSG00000068724","2",46916157,47076137,21,47073702,47074048,1,1527477,1687457,1685022,1685368,"hsap"
"58830","ENSG00000068724","2",46916157,47076137,2,46950363,46950526,1,1527477,1687457,1561683,1561846,"hsap"
"58831","ENSG00000068724","2",46916157,47076137,3,46956839,46957007,1,1527477,1687457,1568159,1568327,"hsap"
"58832","ENSG00000068724","2",46916157,47076137,4,46974973,46975103,1,1527477,1687457,1586293,1586423,"hsap"
"58833","ENSG00000068724","2",46916157,47076137,5,46978792,46978907,1,1527477,1687457,1590112,1590227,"hsap"
"58834","ENSG00000068724","2",46916157,47076137,6,46993450,46993528,1,1527477,1687457,1604770,1604848,"hsap"
"58835","ENSG00000068724","2",46916157,47076137,7,46994357,46994514,1,1527477,1687457,1605677,1605834,"hsap"
"58836","ENSG00000068724","2",46916157,47076137,8,46995136,46995199,1,1527477,1687457,1606456,1606519,"hsap"
"58837","ENSG00000068724","2",46916157,47076137,9,47005922,47006059,1,1527477,1687457,1617242,1617379,"hsap"
"58838","ENSG00000068724","2",46916157,47076137,10,47006641,47006724,1,1527477,1687457,1617961,1618044,"hsap"
"58839","ENSG00000068724","2",46916157,47076137,11,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58840","ENSG00000068724","2",46916157,47076137,12,47021862,47021979,1,1527477,1687457,1633182,1633299,"hsap"
"58841","ENSG00000068724","2",46916157,47076137,13,47023408,47023465,1,1527477,1687457,1634728,1634785,"hsap"
"58842","ENSG00000068724","2",46916157,47076137,14,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58843","ENSG00000068724","2",46916157,47076137,15,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58844","ENSG00000068724","2",46916157,47076137,16,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58845","ENSG00000068724","2",46916157,47076137,17,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58846","ENSG00000068724","2",46916157,47076137,18,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58847","ENSG00000068724","2",46916157,47076137,19,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58848","ENSG00000068724","2",46916157,47076137,1,46941224,46941725,1,1527477,1687457,1552544,1553045,"hsap"
"58849","ENSG00000068724","2",46916157,47076137,20,47073702,47076123,1,1527477,1687457,1685022,1687443,"hsap"
"58850","ENSG00000068724","2",46916157,47076137,1,46941275,46941725,1,1527477,1687457,1552595,1553045,"hsap"
"58851","ENSG00000068724","2",46916157,47076137,4,46958495,46958552,1,1527477,1687457,1569815,1569872,"hsap"
"58852","ENSG00000068724","2",46916157,47076137,17,47049949,47050025,1,1527477,1687457,1661269,1661345,"hsap"
"58853","ENSG00000068724","2",46916157,47076137,1,46941286,46941725,1,1527477,1687457,1552606,1553045,"hsap"
"58854","ENSG00000068724","2",46916157,47076137,17,47047266,47047337,1,1527477,1687457,1658586,1658657,"hsap"
"58855","ENSG00000068724","2",46916157,47076137,21,47073702,47075324,1,1527477,1687457,1685022,1686644,"hsap"
"58856","ENSG00000068724","2",46916157,47076137,9,47006641,47006724,1,1527477,1687457,1617961,1618044,"hsap"
"58857","ENSG00000068724","2",46916157,47076137,10,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58858","ENSG00000068724","2",46916157,47076137,11,47021862,47021979,1,1527477,1687457,1633182,1633299,"hsap"
"58859","ENSG00000068724","2",46916157,47076137,12,47023408,47023465,1,1527477,1687457,1634728,1634785,"hsap"
"58860","ENSG00000068724","2",46916157,47076137,13,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58861","ENSG00000068724","2",46916157,47076137,14,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58862","ENSG00000068724","2",46916157,47076137,1,46941543,46941725,1,1527477,1687457,1552863,1553045,"hsap"
"58863","ENSG00000068724","2",46916157,47076137,7,46995136,46995199,1,1527477,1687457,1606456,1606519,"hsap"
"58864","ENSG00000068724","2",46916157,47076137,8,47005922,47006059,1,1527477,1687457,1617242,1617379,"hsap"
"58865","ENSG00000068724","2",46916157,47076137,15,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58866","ENSG00000068724","2",46916157,47076137,16,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58867","ENSG00000068724","2",46916157,47076137,17,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58868","ENSG00000068724","2",46916157,47076137,18,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58869","ENSG00000068724","2",46916157,47076137,19,47073702,47073923,1,1527477,1687457,1685022,1685243,"hsap"
"58870","ENSG00000068724","2",46916157,47076137,1,46950421,46950526,1,1527477,1687457,1561741,1561846,"hsap"
"58871","ENSG00000068724","2",46916157,47076137,2,46951602,46951733,1,1527477,1687457,1562922,1563053,"hsap"
"58872","ENSG00000068724","2",46916157,47076137,21,47073702,47076137,1,1527477,1687457,1685022,1687457,"hsap"
"58873","ENSG00000068724","2",46916157,47076137,2,46978792,46978907,1,1527477,1687457,1590112,1590227,"hsap"
"58874","ENSG00000068724","2",46916157,47076137,3,46993450,46993528,1,1527477,1687457,1604770,1604848,"hsap"
"58875","ENSG00000068724","2",46916157,47076137,4,46994357,46994514,1,1527477,1687457,1605677,1605834,"hsap"
"58876","ENSG00000068724","2",46916157,47076137,5,46995136,46995199,1,1527477,1687457,1606456,1606519,"hsap"
"58877","ENSG00000068724","2",46916157,47076137,1,46978118,46978249,1,1527477,1687457,1589438,1589569,"hsap"
"58878","ENSG00000068724","2",46916157,47076137,6,47005922,47005994,1,1527477,1687457,1617242,1617314,"hsap"
"58879","ENSG00000068724","2",46916157,47076137,2,46993450,46993528,1,1527477,1687457,1604770,1604848,"hsap"
"58880","ENSG00000068724","2",46916157,47076137,3,46994357,46994514,1,1527477,1687457,1605677,1605834,"hsap"
"58881","ENSG00000068724","2",46916157,47076137,4,46995136,46995199,1,1527477,1687457,1606456,1606519,"hsap"
"58882","ENSG00000068724","2",46916157,47076137,5,47005922,47006059,1,1527477,1687457,1617242,1617379,"hsap"
"58883","ENSG00000068724","2",46916157,47076137,6,47006641,47006724,1,1527477,1687457,1617961,1618044,"hsap"
"58884","ENSG00000068724","2",46916157,47076137,7,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58885","ENSG00000068724","2",46916157,47076137,8,47021862,47021979,1,1527477,1687457,1633182,1633299,"hsap"
"58886","ENSG00000068724","2",46916157,47076137,9,47023408,47023465,1,1527477,1687457,1634728,1634785,"hsap"
"58887","ENSG00000068724","2",46916157,47076137,10,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58888","ENSG00000068724","2",46916157,47076137,11,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58889","ENSG00000068724","2",46916157,47076137,12,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58890","ENSG00000068724","2",46916157,47076137,13,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58891","ENSG00000068724","2",46916157,47076137,14,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58892","ENSG00000068724","2",46916157,47076137,15,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58893","ENSG00000068724","2",46916157,47076137,1,46978740,46978907,1,1527477,1687457,1590060,1590227,"hsap"
"58894","ENSG00000068724","2",46916157,47076137,16,47073702,47075557,1,1527477,1687457,1685022,1686877,"hsap"
"58895","ENSG00000068724","2",46916157,47076137,2,46995136,46995199,1,1527477,1687457,1606456,1606519,"hsap"
"58896","ENSG00000068724","2",46916157,47076137,3,47005922,47006059,1,1527477,1687457,1617242,1617379,"hsap"
"58897","ENSG00000068724","2",46916157,47076137,4,47006641,47006724,1,1527477,1687457,1617961,1618044,"hsap"
"58898","ENSG00000068724","2",46916157,47076137,5,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58899","ENSG00000068724","2",46916157,47076137,6,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58900","ENSG00000068724","2",46916157,47076137,7,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58901","ENSG00000068724","2",46916157,47076137,8,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58902","ENSG00000068724","2",46916157,47076137,9,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58903","ENSG00000068724","2",46916157,47076137,10,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58904","ENSG00000068724","2",46916157,47076137,11,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58905","ENSG00000068724","2",46916157,47076137,1,46994231,46994514,1,1527477,1687457,1605551,1605834,"hsap"
"58906","ENSG00000068724","2",46916157,47076137,12,47073702,47075324,1,1527477,1687457,1685022,1686644,"hsap"
"58907","ENSG00000068724","2",46916157,47076137,2,47006641,47006724,1,1527477,1687457,1617961,1618044,"hsap"
"58908","ENSG00000068724","2",46916157,47076137,3,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58909","ENSG00000068724","2",46916157,47076137,5,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58910","ENSG00000068724","2",46916157,47076137,6,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58911","ENSG00000068724","2",46916157,47076137,1,47005932,47006059,1,1527477,1687457,1617252,1617379,"hsap"
"58912","ENSG00000068724","2",46916157,47076137,4,47023408,47023465,1,1527477,1687457,1634728,1634785,"hsap"
"58913","ENSG00000068724","2",46916157,47076137,7,47049949,47049980,1,1527477,1687457,1661269,1661300,"hsap"
"58914","ENSG00000068724","2",46916157,47076137,2,47011331,47011435,1,1527477,1687457,1622651,1622755,"hsap"
"58915","ENSG00000068724","2",46916157,47076137,3,47021862,47021979,1,1527477,1687457,1633182,1633299,"hsap"
"58916","ENSG00000068724","2",46916157,47076137,4,47024287,47024359,1,1527477,1687457,1635607,1635679,"hsap"
"58917","ENSG00000068724","2",46916157,47076137,5,47029224,47029384,1,1527477,1687457,1640544,1640704,"hsap"
"58918","ENSG00000068724","2",46916157,47076137,6,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58919","ENSG00000068724","2",46916157,47076137,7,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58920","ENSG00000068724","2",46916157,47076137,8,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58921","ENSG00000068724","2",46916157,47076137,9,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58922","ENSG00000068724","2",46916157,47076137,1,47007004,47007049,1,1527477,1687457,1618324,1618369,"hsap"
"58923","ENSG00000068724","2",46916157,47076137,10,47073702,47075432,1,1527477,1687457,1685022,1686752,"hsap"
"58924","ENSG00000068724","2",46916157,47076137,7,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58925","ENSG00000068724","2",46916157,47076137,1,47008545,47008779,1,1527477,1687457,1619865,1620099,"hsap"
"58926","ENSG00000068724","2",46916157,47076137,8,47073702,47076106,1,1527477,1687457,1685022,1687426,"hsap"
"58927","ENSG00000068724","2",46916157,47076137,3,47023408,47023465,1,1527477,1687457,1634728,1634785,"hsap"
"58928","ENSG00000068724","2",46916157,47076137,1,47008702,47008779,1,1527477,1687457,1620022,1620099,"hsap"
"58929","ENSG00000068724","2",46916157,47076137,10,47073702,47075537,1,1527477,1687457,1685022,1686857,"hsap"
"58930","ENSG00000068724","2",46916157,47076137,7,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58931","ENSG00000068724","2",46916157,47076137,8,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58932","ENSG00000068724","2",46916157,47076137,9,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58933","ENSG00000068724","2",46916157,47076137,10,47060769,47060971,1,1527477,1687457,1672089,1672291,"hsap"
"58934","ENSG00000068724","2",46916157,47076137,11,47073702,47076112,1,1527477,1687457,1685022,1687432,"hsap"
"58935","ENSG00000068724","2",46916157,47076137,2,47046315,47046431,1,1527477,1687457,1657635,1657751,"hsap"
"58936","ENSG00000068724","2",46916157,47076137,3,47049949,47050046,1,1527477,1687457,1661269,1661366,"hsap"
"58937","ENSG00000068724","2",46916157,47076137,4,47051746,47051880,1,1527477,1687457,1663066,1663200,"hsap"
"58938","ENSG00000068724","2",46916157,47076137,1,47034155,47034369,1,1527477,1687457,1645475,1645689,"hsap"
"58939","ENSG00000068724","2",46916157,47076137,5,47060769,47060956,1,1527477,1687457,1672089,1672276,"hsap"
