"","ensembl_gene_id","chromosome_name","start_position","end_position","length"
"1","Ocbimv22010443m.g","KQ427389",85681,85875,194
"2","Ocbimv22014735m.g","KQ429053",9067,9363,296
"3","Ocbimv22008886m.g","KQ426791",702273,710732,8459
"4","Ocbimv22037287m.g","KQ422990",39719,39979,260
"5","Ocbimv22034326m.g","KQ422016",79104,82364,3260
"6","Ocbimv22033040m.g","KQ416466",437025,439861,2836
"7","Ocbimv22028072m.g","KQ416246",31672,42219,10547
"8","Ocbimv22037795m.g","KQ423136",19118,20460,1342
"9","Ocbimv22025249m.g","KQ419745",288326,288502,176
"10","Ocbimv22009214m.g","KQ417575",8934,36456,27522
"11","Ocbimv22023696m.g","KQ416093",22453,22635,182
"12","Ocbimv22038051m.g","KQ423209",111112,111282,170
"13","Ocbimv22008960m.g","KQ426820",75066,75341,275
"14","Ocbimv22035282m.g","KQ422349",135955,172317,36362
"15","Ocbimv22028507m.g","KQ416259",652512,652883,371
"16","Ocbimv22029119m.g","KQ420660",61633,70990,9357
"17","Ocbimv22002861m.g","KQ424808",19643,26132,6489
"18","Ocbimv22038799m.g","KQ423465",136679,136915,236
"19","Ocbimv22014287m.g","KQ428855",22623,24134,1511
"20","Ocbimv22012235m.g","KQ417892",214081,215304,1223
"21","Ocbimv22007914m.g","KQ417459",322406,322982,576
"22","Ocbimv22018422m.g","LGKD01643114",1,494,493
"23","Ocbimv22016233m.g","KQ429763",33927,40523,6596
"24","Ocbimv22011209m.g","KQ417763",34084,35952,1868
"25","Ocbimv22022122m.g","KQ419175",242333,242536,203
"26","Ocbimv22023712m.g","KQ419463",9791,9991,200
"27","Ocbimv22001223m.g","KQ424229",479139,479309,170
"28","Ocbimv22034469m.g","KQ422050",763934,771405,7471
"29","Ocbimv22011538m.g","KQ427775",42867,43189,322
"30","Ocbimv22000826m.g","KQ424081",327700,331259,3559
"31","Ocbimv22019250m.g","KQ431068",108492,108848,356
"32","Ocbimv22016260m.g","KQ418333",326751,328845,2094
"33","Ocbimv22021770m.g","KQ419098",229442,276318,46876
"34","Ocbimv22023557m.g","KQ419432",104529,104821,292
"35","Ocbimv22007001m.g","KQ417370",176264,178205,1941
"36","Ocbimv22024948m.g","KQ419660",480214,508000,27786
"37","Ocbimv22025922m.g","KQ419927",1427115,1427519,404
"38","Ocbimv22031756m.g","KQ421338",434062,434382,320
"39","Ocbimv22039477m.g","KQ423675",228485,257238,28753
"40","Ocbimv22003974m.g","KQ425163",14171,72898,58727
"41","Ocbimv22011909m.g","KQ427949",127710,144390,16680
"42","Ocbimv22034686m.g","KQ416547",68248,73442,5194
"43","Ocbimv22009911m.g","KQ427153",17666,27108,9442
"44","Ocbimv22035757m.g","KQ422527",95445,96456,1011
"45","Ocbimv22018448m.g","KQ415992",571882,572609,727
"46","Ocbimv22002748m.g","KQ417032",262769,264606,1837
"47","Ocbimv22039969m.g","KQ415773",106719,107234,515
"48","Ocbimv22020375m.g","KQ418900",571317,574400,3083
"49","Ocbimv22022865m.g","KQ416078",31252,33802,2550
"50","Ocbimv22007358m.g","KQ426312",151030,151531,501
"51","Ocbimv22003571m.g","KQ417092",4984,5602,618
"52","Ocbimv22008486m.g","KQ426647",292462,292713,251
"53","Ocbimv22024654m.g","KQ419607",252914,253429,515
"54","Ocbimv22028644m.g","KQ420545",33897,41645,7748
